

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	0.437	0.254	341.73		-5.9	3.3	-0.2		9.80	-17.34		5105.3	34.2	51.9	0.0	0.0
2	1.001	0.003	342.36		-5.7	3.4	-0.2		9.94	-16.77		5110.2	34.2	50.1	0.0	0.0
3	0.812	0.065	342.79		-6.2	3.4	-0.2		9.98	-18.00		5110.8	34.2	48.2	0.0	0.0
4	0.562	-0.469	342.51		-5.9	3.3	-0.2		9.82	-17.17		5109.0	34.8	48.2	0.0	0.0
5	0.719	-0.563	344.27		-5.4	3.6	-0.1		10.47	-15.67		5107.7	34.2	48.8	0.0	0.0
6	0.344	-0.155	343.07		-5.7	3.5	-0.0		10.29	-16.72		5104.7	33.6	51.3	0.0	0.0
7	0.312	-0.375	342.08		-5.6	3.4	-0.1		10.10	-16.41		5107.7	34.2	51.3	0.0	0.0
8	0.814	-0.218	343.70		-5.5	3.6	0.0		10.64	-15.95		5110.2	34.2	47.6	0.0	0.0
9	0.470	0.065	342.23		-5.8	3.5	-0.0		10.32	-17.01		5108.3	34.2	48.2	0.0	0.0
10	0.437	-0.312	341.38		-5.8	3.2	-0.1		9.55	-16.90		5107.7	34.2	49.4	0.0	0.0
11	0.720	-0.155	343.21		-5.7	3.5	-0.0		10.25	-16.72		5105.9	34.2	49.4	0.0	0.0
12	0.470	-0.155	341.31		-6.2	3.3	-0.0		9.81	-18.12		5104.1	33.6	52.5	0.0	0.0
13	0.688	-0.595	340.74		-5.8	3.1	-0.1		9.20	-16.96		5109.0	34.2	50.1	0.0	0.0
14	0.846	-0.186	342.37		-5.9	3.3	0.0		9.71	-17.09		5110.2	34.2	47.0	0.0	0.0
15	0.501	-0.060	341.03		-6.1	3.3	0.0		9.60	-18.02		5108.3	33.6	48.2	0.0	0.0
16	0.563	-0.469	341.59		-5.8	3.1	-0.0		9.24	-16.82		5106.5	33.6	48.2	0.0	0.0
17	0.689	0.034	342.65		-5.8	3.4	0.1		9.97	-16.87		5104.7	34.2	50.1	0.0	0.0
18	0.314	0.317	340.25		-6.1	3.2	0.1		9.50	-18.04		5103.5	33.6	52.5	0.0	0.0
19	0.719	-0.155	340.60		-6.0	3.1	-0.1		9.13	-17.58		5108.3	34.2	50.1	0.0	0.0
20	0.814	-0.060	342.30		-6.1	3.3	-0.0		9.81	-17.96		5109.6	34.2	48.2	0.0	0.0
21	0.313	-0.029	341.18		-6.5	3.1	-0.1		9.22	-19.05		5107.7	34.2	48.2	0.0	0.0
22	0.531	-0.437	342.09		-5.8	3.0	-0.1		8.82	-16.97		5106.5	34.2	47.6	0.0	0.0
23	0.689	-0.186	343.14		-5.9	3.2	-0.1		9.42	-17.11		5105.9	33.0	51.3	0.0	0.0
24	0.282	-0.029	340.67		-6.0	3.1	-0.1		9.27	-17.53		5109.0	34.8	52.5	0.0	0.0
25	0.657	-0.249	341.73		-5.5	3.1	-0.1		9.24	-15.93		5110.2	34.2	48.2	0.0	0.0
26	0.908	0.128	342.57		-5.6	3.3	-0.0		9.82	-16.26		5109.0	34.8	47.0	0.0	0.0
27	0.407	0.034	340.53		-5.7	3.3	-0.1		9.65	-16.75		5108.3	34.2	47.6	0.0	0.0
28	0.563	-0.343	341.09		-5.4	3.2	-0.1		9.43	-15.77		5105.9	33.6	48.2	0.0	0.0
29	0.720	0.097	341.38		-5.8	3.3	-0.1		9.87	-17.05		5104.7	33.6	51.9	0.0	0.0
30	0.281	0.066	339.19		-6.1	3.2	-0.2		9.57	-17.90		5109.6	33.6	49.4	0.0	0.0
31	0.688	-0.343	341.59		-5.5	3.3	-0.1		9.68	-16.04		5110.2	34.2	45.8	0.0	0.0
32	0.940	0.191	341.80		-5.9	3.4	0.0		9.95	-17.38		5108.3	34.2	47.6	0.0	0.0
33	0.596	0.034	340.25		-6.0	3.3	0.0		9.75	-17.56		5107.1	34.2	45.8	0.0	0.0
34	1.160	-0.437	340.60		-5.3	3.3	0.0		9.75	-15.39		5104.1	33.6	50.1	0.0	0.0
35	1.160	0.065	340.81		-5.7	3.3	0.1		9.93	-16.74		5107.1	34.2	50.7	0.0	0.0
36	0.533	0.034	339.47		-5.9	3.4	-0.0		9.95	-17.31		5109.0	34.2	47.0	0.0	0.0
37	0.782	-0.312	340.80		-5.3	3.4	-0.1		10.04	-15.45		5108.3	34.2	48.8	0.0	0.0
38	0.437	0.097	341.45		-6.0	3.4	-0.1		10.09	-17.45		5107.7	34.8	48.2	0.0	0.0
39	-0.252	-0.060	340.39		-6.1	3.4	-0.2		9.88	-17.88		5105.3	34.8	49.4	0.0	0.0
40	0.312	-0.249	341.51		-5.5	3.4	-0.2		9.97	-15.99		5104.1	33.6	52.5	0.0	0.0
41	0.281	0.034	340.46		-6.1	3.3	-0.1		9.82	-17.95		5109.0	33.6	51.9	0.0	0.0
42	-0.001	-0.060	339.68		-6.0	3.3	-0.1		9.63	-17.58		5110.2	34.2	48.2	0.0	0.0
43	0.626	-0.123	340.95		-5.5	3.4	-0.0		10.09	-16.03		5109.0	34.2	48.8	0.0	0.0
44	0.501	0.097	340.74		-5.9	3.4	-0.0		9.98	-17.26		5107.1	34.8	47.0	0.0	0.0
45	0.061	-0.029	338.98		-5.7	3.2	-0.2		9.44	-16.93		5105.9	33.6	49.4	0.0	0.0
46	0.406	0.065	339.39		-5.4	3.4	-0.2		9.97	-15.89		5105.9	33.6	50.7	0.0	0.0
47	0.249	0.380	339.12		-5.9	3.4	-0.2		10.04	-17.53		5110.2	34.2	48.8	0.0	0.0
48	0.123	0.223	339.12		-5.7	3.2	-0.3		9.52	-16.72		5110.2	33.6	47.0	0.0	0.0
49	0.593	0.285	340.81		-5.4	3.3	-0.2		9.88	-15.96		5109.0	33.6	47.0	0.0	0.0
50	0.437	0.474	340.39		-6.0	3.3	-0.2		9.73	-17.59		5106.5	34.2	48.8	0.0	0.0
51	0.530	0.034	339.61		-5.6	3.2	-0.3		9.36	-16.39		5104.1	33.6	53.1	0.0	0.0
52	0.813	-0.123	340.38		-5.3	3.3	-0.1		9.77	-15.48		5107.7	34.8	50.7	0.0	0.0
53	0.594	0.191	339.82		-5.8	3.3	-0.1		9.83	-17.02		5109.6	34.8	47.0	0.0	0.0
54	0.719	-0.312	340.10		-5.3	3.2	-0.1		9.47	-15.59		5108.3	33.6	49.4	0.0	0.0
55	0.688	-0.437	341.72		-5.1	3.5	0.0		10.26	-14.88		5107.7	33.6	48.2	0.0	0.0
56	0.219	-0.092	340.32		-5.6	3.4	-0.0		10.04	-16.35		5105.3	33.6	49.4	0.0	0.0
57	0.344	-0.249	339.75		-5.3	3.3	-0.1		9.63	-15.44		5105.3	33.6	50.7	0.0	0.0
58	0.689	-0.060	340.52		-5.4	3.4	-0.0		9.97	-15.94		5109.6	34.2	48.2	0.0	0.0
59	0.282	0.160	339.19		-5.9	3.2	-0.0		9.42	-17.34		5109.6	33.6	47.6	0.0	0.0
60	0.500	-0.374	339.40		-5.6	3.1	-0.1		9.04	-16.42		5107.7	34.2	50.1	0.0	0.0
61	0.658	-0.123	340.45		-5.5	3.2	0.0		9.50	-16.11		5106.5	34.2	49.4	0.0	0.0
62	0.344	0.128	338.41		-5.9	3.0	-0.0		8.90	-17.55		5105.3	32.4	51.9	0.0	0.0
63	0.657	-0.218	338.05		-5.5	3.0	-0.0		8.83	-16.21		5109.0	34.2	53.1	0.0	0.0
64	0.908	0.128	339.89		-5.7	3.2	0.0		9.61	-16.84		5110.8	34.8	50.1	0.0	0.0
65	0.407	0.222	338.76		-5.8	3.2	0.0		9.37	-17.02		5109.6	34.2	48.8	0.0	0.0
66	0.563	-0.343	339.12		-5.6	3.0	-0.1		8.91	-16.55		5107.7	34.2	48.8	0.0	0.0
67	0.564	0.128	340.81		-5.8	3.3	0.0		9.66	-17.08		5105.9	34.2	51.3	0.0	0.0
68	0.282	0.380	338.84		-6.0	3.1	-0.0		9.18	-17.66		5104.7	33.6	53.1	0.0	0.0
69	0.751	-0.186	339.40		-5.7	2.9	-0.1		8.62	-16.78		5109.6	34.2	51.3	0.0	0.0
70	0.783	0.160	341.38		-5.9	3.0	-0.1		8.93	-17.18		5109.6	34.8	47.6	0.0	0.0
71	0.438	0.128	339.61		-5.9	2.9	-0.0		8.62	-17.43		5108.3	33.6	48.2	0.0	0.0
72	0.813	-0.437	339.89		-5.3	2.9	-0.1		8.51	-15.65		5107.1	33.6	48.2	0.0	0.0
73	0.814	0.065	340.67		-5.5	3.1	-0.0		9.10	-16.17		5104.7	33.6	50.1	0.0	0.0
74	0.595	0.128	338.20		-5.6	3.0	-0.0		8.97	-16.47		5106.5	34.2	50.7	0.0	0.0
75	0.971	-0.249	339.75		-5.2	3.0	-0.0		9.04	-15.33		5109.6	35.4	47.6	0.0	0.0
76	0.845	0.160	340.60		-5.5	3.2	-0.0		9.44	-16.13		5109.0	34.2	45.8	0.0	0.0
77	0.344	0.097	339.26		-5.8	3.1	-0.1		9.24	-17.04		5107.7	34.2	47.0	0.0	0.0
78	0.908	-0.155	340.31		-5.3	3.2	-0.0		9.45	-15.54		5105.3	34.2	49.4	0.0	0.0
79	1.254	0.411	340.39		-5.7	3.2	0.1		9.59	-16.79		5103.5	33.0	53.1	0.0	0.0
80	0.972	0.254	338.70		-5.9	3.1	0.0		9.24	-17.31		5109.0	33.6	51.9	0.0	0.0
81	1.442	-0.186	339.82		-5.2	3.2	0.1		9.48	-15.16		5109.6	34.2	47.6	0.0	0.0
82	1.348	0.160	340.46		-5.6	3.3	0.2		9.78	-16.48		5109.0	34.2	48.2	0.0	0.0
83	0.689	-0.060	338.55		-5.7	3.1	0.0		9.22	-16.83		5107.7	33.6	49.4	0.0	0.0
84	1.065	-0.186	340.38		-5.2	3.3	-0.0		9.72	-15.13		5105.3	33.6	50.1	0.0	0.0
85	0.877	0.191	340.03		-5.6	3.3	-0.0		9.89	-16.38		5106.5	34.2	51.3	0.0	0.0
86	0.343	0.097	339.40		-5.8	3.2	-0.1		9.53	-17.15		5109.6	33.6	47.6	0.0	0.0
87	0.688	-0.060	341.09		-5.2	3.2	-0.1		9.59	-15.34		5110.2	34.2	47.0	0.0	0.0
88	0.563	0.160	341.02		-5.8	3.3	-0.1		9.68	-17.02		5108.3	34.2	48.2	0.0	0.0
89	0.123	0.034	339.75		-5.8	3.1	-0.2		9.03	-16.96		5106.5	34.2	49.4	0.0	0.0
90	0.813	0.065	339.96		-5.2	3.2	-0.1		9.42	-15.41		5104.7	33.6	52.5	0.0	0.0
91	0.908	0.379	339.69		-6.0	3.2	-0.0		9.50	-17.62		5108.3	33.6	50.7	0.0	0.0
92	0.688	0.002	339.82		-5.7	3.1	-0.1		9.11	-16.66		5109.6	34.2	48.2	0.0	0.0
93	0.907	-0.123	340.81		-5.2	3.2	-0.1		9.55	-15.12		5109.0	34.2	47.6	0.0	0.0
94	0.594	0.285	340.39		-5.8	3.2	-0.1		9.45	-17.01		5107.1	34.2	46.4	0.0	0.0
95	0.406	0.317	339.61		-5.7	3.1	-0.2		9.06	-16.76		5104.7	33.6	48.8	0.0	0.0
96	0.844	0.537	340.31		-5.1	3.2	-0.2		9.37	-15.04		5105.9	33.6	50.7	0.0	0.0
97	0.656	0.851	340.25		-5.7	3.2	-0.2		9.46	-16.95		5109.6	34.2	47.6	0.0	0.0
98	0.655	0.662	340.03		-5.4	3.0	-0.3		8.85	-16.09		5109.6	33.6	47.6	0.0	0.0
99	1.156	0.317	341.73		-5.2	3.1	-0.2		9.07	-15.30		5107.7	33.6	47.6	0.0	0.0
100	0.813	0.285	340.88		-5.7	3.1	-0.1		9.13	-16.70		5106.5	34.8	50.1	0.0	0.0
101	0.718	0.002	340.32		-5.5	3.0	-0.2		8.78	-16.24		5104.7	33.0	52.5	0.0	0.0
102	1.063	-0.092	342.01		-5.0	3.2	-0.1		9.49	-14.68		5109.6	34.2	52.5	0.0	0.0
103	0.720	0.096	341.66		-5.4	3.2	0.0		9.57	-15.79		5110.8	34.8	48.2	0.0	0.0
104	0.656	-0.029	341.37		-5.2	3.1	-0.1		9.21	-15.11		5110.2	34.2	48.8	0.0	0.0
105	0.813	0.128	342.78		-4.9	3.4	-0.0		9.91	-14.27		5107.7	34.8	48.8	0.0	0.0
106	0.375	0.379	341.45		-5.3	3.3	0.0		9.58	-15.66		5105.3	34.2	50.1	0.0	0.0
107	0.594	0.191	340.17		-5.1	3.2	-0.1		9.35	-14.90		5106.5	33.6	52.5	0.0	0.0
108	1.002	0.442	341.73		-5.3	3.2	-0.0		9.35	-15.54		5110.2	34.2	50.1	0.0	0.0
109	0.751	0.505	340.60		-5.8	3.0	0.0		8.77	-17.08		5110.2	34.8	48.8	0.0	0.0
110	0.719	-0.155	340.10		-5.4	2.8	-0.1		8.38	-15.95		5108.3	34.2	48.2	0.0	0.0
111	0.782	0.159	341.52		-5.6	3.0	0.0		8.93	-16.37		5106.5	34.8	48.8	0.0	0.0
112	0.626	0.505	340.67		-5.8	2.9	0.1		8.65	-17.13		5104.1	33.6	52.5	0.0	0.0
113	0.751	0.034	340.10		-5.4	2.8	0.0		8.32	-15.86		5107.1	34.2	49.4	0.0	0.0
114	0.939	0.379	342.15		-5.5	3.1	0.1		9.18	-16.19		5109.6	34.8	47.6	0.0	0.0
115	0.595	0.693	340.81		-5.7	3.1	0.1		9.01	-16.91		5109.0	34.8	48.8	0.0	0.0
116	0.845	0.285	341.37		-5.3	2.9	0.0		8.58	-15.48		5107.7	34.8	49.4	0.0	0.0
117	0.876	0.662	342.08		-5.6	3.0	0.0		8.93	-16.39		5104.7	34.2	49.4	0.0	0.0
118	0.469	0.725	340.89		-5.9	2.8	-0.0		8.23	-17.31		5104.1	33.6	53.7	0.0	0.0
119	0.813	0.097	341.31		-5.6	2.7	-0.1		8.04	-16.44		5109.0	34.2	50.1	0.0	0.0
120	1.001	0.411	343.07		-5.5	2.9	-0.1		8.55	-16.10		5110.2	34.2	48.8	0.0	0.0
121	0.594	0.568	341.59		-5.7	2.8	-0.1		8.22	-16.81		5108.3	34.8	48.8	0.0	0.0
122	0.875	0.128	342.08		-5.1	2.8	-0.1		8.28	-14.87		5106.5	34.2	48.2	0.0	0.0
123	0.970	0.505	343.42		-5.3	3.1	-0.1		9.08	-15.36		5105.3	33.0	50.7	0.0	0.0
124	0.594	0.756	340.88		-5.5	3.0	-0.1		8.75	-16.06		5107.7	34.2	51.9	0.0	0.0
125	1.001	0.411	341.37		-5.1	2.9	-0.1		8.67	-14.92		5111.4	34.2	48.2	0.0	0.0
126	1.064	0.788	342.43		-5.3	3.1	-0.1		9.04	-15.43		5109.6	34.2	47.0	0.0	0.0
127	0.656	0.756	340.74		-5.5	3.0	-0.1		8.83	-16.30		5108.3	34.2	46.4	0.0	0.0
128	0.970	0.348	341.94		-5.2	3.0	-0.1		8.80	-15.12		5106.5	34.2	48.2	0.0	0.0
129	1.253	0.725	342.51		-5.6	3.1	0.1		9.31	-16.38		5104.7	33.6	52.5	0.0	0.0
130	1.065	0.725	340.46		-5.6	3.0	0.0		8.80	-16.53		5109.6	34.2	51.9	0.0	0.0
131	1.535	0.474	341.87		-5.1	2.9	0.1		8.74	-14.97		5110.8	34.8	47.6	0.0	0.0
132	1.504	0.913	342.65		-5.5	3.2	0.1		9.40	-16.05		5109.0	34.8	47.6	0.0	0.0
133	0.908	0.756	341.59		-5.4	3.1	0.0		9.05	-15.91		5107.7	34.2	46.4	0.0	0.0
134	1.033	0.348	342.43		-5.0	3.0	-0.0		8.97	-14.59		5105.3	33.6	48.8	0.0	0.0
