

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	1.942	-0.154	539.17		2.9	0.4	-0.2		0.85	5.36		3776.5	12.8	-9.8	0.0	0.0
2	1.848	0.066	540.37		3.0	0.5	-0.1		1.00	5.58		3992.6	12.2	-9.8	0.0	0.0
3	1.942	0.097	540.23		3.0	0.4	-0.1		0.78	5.58		4140.3	12.2	-11.0	0.0	0.0
4	2.005	0.034	540.16		3.1	0.4	-0.1		0.90	5.77		4622.5	12.2	-9.2	0.0	0.0
5	1.943	0.129	540.58		3.3	0.5	-0.1		0.98	6.04		784.3	11.6	-9.8	0.0	0.0
6	1.911	0.003	539.59		3.0	0.4	-0.2		0.94	5.49		-205.7	12.2	-9.8	0.0	0.0
7	1.785	0.160	540.79		3.1	0.5	-0.2		1.09	5.64		297.9	11.6	-11.6	0.0	0.0
8	1.879	0.003	540.23		3.0	0.5	-0.2		1.05	5.59		993.7	11.6	-10.4	0.0	0.0
9	1.848	-0.091	540.30		3.2	0.7	-0.2		1.34	5.85		1676.7	11.6	-9.2	0.0	0.0
10	1.942	-0.060	540.51		3.2	0.4	-0.1		0.87	5.95		2230.4	12.2	-10.4	0.0	0.0
11	1.879	-0.154	539.03		2.8	0.5	-0.2		1.07	5.29		2701.0	12.2	-8.5	0.0	0.0
12	1.911	0.129	540.23		3.1	0.4	-0.1		0.91	5.80		3088.6	11.0	-9.8	0.0	0.0
13	1.910	0.003	539.59		3.0	0.4	-0.2		0.89	5.56		3418.2	12.2	-10.4	0.0	0.0
14	2.130	-0.060	540.23		3.1	0.5	-0.1		1.02	5.66		3693.5	12.2	-9.2	0.0	0.0
15	2.068	-0.123	539.95		3.1	0.5	-0.1		0.97	5.67		3923.6	11.6	-11.0	0.0	0.0
16	1.817	-0.217	539.38		2.9	0.6	-0.2		1.14	5.32		4093.3	12.2	-9.8	0.0	0.0
17	1.785	0.034	540.37		3.2	0.5	-0.2		1.04	5.87		4483.3	12.8	-10.4	0.0	0.0
18	1.817	-0.060	539.59		2.9	0.6	-0.2		1.25	5.35		1821.4	12.8	-9.8	0.0	0.0
19	1.942	-0.123	540.79		3.2	0.7	-0.2		1.32	5.88		72.0	11.6	-11.0	0.0	0.0
20	1.973	-0.311	539.17		2.9	0.5	-0.2		0.99	5.44		10.4	11.6	-10.4	0.0	0.0
21	1.880	-0.186	539.38		3.0	0.5	-0.1		1.10	5.61		742.8	11.6	-9.2	0.0	0.0
22	1.942	-0.060	539.66		2.9	0.4	-0.1		0.92	5.45		1472.9	11.6	-9.2	0.0	0.0
23	1.817	-0.217	539.45		2.9	0.4	-0.2		0.84	5.43		2059.5	12.8	-9.8	0.0	0.0
24	2.037	-0.123	540.16		3.2	0.5	-0.1		1.13	5.92		2552.0	11.0	-11.0	0.0	0.0
25	2.005	-0.248	539.31		2.8	0.5	-0.2		1.03	5.29		2967.1	11.6	-11.6	0.0	0.0
26	1.816	-0.248	539.80		2.9	0.7	-0.2		1.32	5.39		3316.9	12.2	-9.2	0.0	0.0
27	1.816	-0.217	539.74		2.9	0.5	-0.2		0.98	5.43		3606.8	12.8	-9.8	0.0	0.0
28	1.848	-0.374	540.16		3.0	0.6	-0.2		1.30	5.58		3854.6	12.2	-9.8	0.0	0.0
29	1.911	-0.343	540.09		3.1	0.5	-0.2		1.10	5.83		4056.0	11.6	-9.8	0.0	0.0
30	1.754	-0.374	539.17		2.8	0.5	-0.1		1.07	5.30		4194.0	11.6	-10.4	0.0	0.0
31	1.848	-0.248	539.52		3.0	0.5	-0.1		1.00	5.54		4671.3	11.6	-9.8	0.0	0.0
32	1.816	-0.311	539.38		2.9	0.5	-0.2		0.95	5.40		792.9	12.2	-10.4	0.0	0.0
33	1.943	-0.374	539.67		2.8	0.4	-0.1		0.87	5.26		-206.3	12.8	-9.8	0.0	0.0
34	2.005	-0.280	539.59		3.0	0.5	-0.1		0.99	5.50		535.9	11.6	-10.4	0.0	0.0
35	1.817	-0.437	539.45		2.8	0.6	-0.2		1.16	5.16		1250.1	11.6	-10.4	0.0	0.0
36	1.723	-0.217	539.80		3.1	0.6	-0.2		1.22	5.68		1880.0	12.2	-9.8	0.0	0.0
37	1.723	-0.311	539.03		2.8	0.5	-0.2		1.06	5.15		2401.3	12.2	-9.2	0.0	0.0
38	1.785	-0.500	540.44		3.0	0.7	-0.2		1.48	5.58		2843.2	12.2	-9.8	0.0	0.0
39	1.942	-0.562	539.38		2.8	0.5	-0.2		1.05	5.20		3208.8	11.0	-11.0	0.0	0.0
40	1.786	-0.657	539.81		2.7	0.6	-0.2		1.18	5.13		3519.5	12.2	-10.4	0.0	0.0
41	1.880	-0.563	539.45		2.8	0.4	-0.1		0.89	5.16		3778.3	12.8	-9.2	0.0	0.0
42	1.723	-0.594	539.81		2.9	0.5	-0.2		0.99	5.34		3994.4	12.8	-9.8	0.0	0.0
43	1.911	-0.468	539.81		2.9	0.6	-0.1		1.19	5.41		4143.3	12.8	-9.2	0.0	0.0
44	1.817	-0.468	539.53		2.8	0.5	-0.2		0.95	5.19		4623.7	12.2	-10.4	0.0	0.0
45	1.660	-0.625	540.51		2.7	0.7	-0.2		1.31	5.12		785.0	12.2	-9.8	0.0	0.0
46	1.879	-0.562	539.74		2.8	0.5	-0.2		1.03	5.23		-207.5	11.6	-9.8	0.0	0.0
47	1.754	-0.625	540.16		2.9	0.7	-0.2		1.38	5.38		312.5	10.4	-10.4	0.0	0.0
48	1.692	-0.563	540.65		3.1	0.6	-0.2		1.22	5.83		1010.8	12.8	-11.0	0.0	0.0
49	1.660	-0.657	539.38		2.7	0.6	-0.2		1.13	5.06		1688.3	11.6	-9.8	0.0	0.0
50	1.692	-0.563	539.95		2.7	0.6	-0.2		1.13	4.98		2244.4	12.2	-9.2	0.0	0.0
51	1.911	-0.468	539.67		2.8	0.5	-0.2		0.96	5.19		2706.5	11.6	-9.8	0.0	0.0
52	1.817	-0.625	540.51		2.7	0.5	-0.1		0.95	5.05		3097.1	12.2	-10.4	0.0	0.0
53	1.974	-0.531	540.09		2.9	0.4	-0.1		0.87	5.48		3426.7	12.2	-10.4	0.0	0.0
