

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	0.813	-0.783	422.96		4.1	11.5	-0.1		27.20	9.75		3877.2	12.2	-9.8	0.0	0.0
2	1.001	-0.972	423.45		4.3	11.3	-0.1		26.74	10.17		587.8	12.8	-9.2	0.0	0.0
3	1.032	-1.066	424.23		4.4	11.5	0.0		27.13	10.38		-108.6	12.8	-9.8	0.0	0.0
4	0.782	-0.846	423.24		4.2	11.4	0.0		27.00	10.03		747.1	11.6	-11.0	0.0	0.0
5	1.033	-0.878	422.60		4.4	11.2	0.0		26.68	10.46		1464.9	12.2	-8.5	0.0	0.0
6	1.096	-0.877	423.38		4.3	11.4	0.1		26.90	10.12		2050.9	12.8	-9.2	0.0	0.0
7	1.002	-0.689	422.39		4.1	11.3	0.0		26.72	9.85		2544.1	12.2	-9.2	0.0	0.0
8	1.096	-0.815	423.31		4.4	11.2	0.1		26.64	10.34		2955.5	11.6	-10.4	0.0	0.0
9	1.064	-0.783	423.38		4.4	11.3	0.1		26.78	10.39		3301.0	11.6	-11.0	0.0	0.0
10	0.939	-0.657	421.75		4.3	11.2	0.0		26.61	10.28		3596.4	12.2	-9.2	0.0	0.0
11	1.284	-0.658	423.38		4.4	11.3	0.1		26.68	10.56		3841.8	12.8	-9.8	0.0	0.0
12	1.315	-0.720	422.67		4.3	11.4	0.1		26.96	10.31		4046.3	12.8	-9.8	0.0	0.0
13	0.750	-0.877	422.04		4.3	11.2	-0.0		26.58	10.29		4179.3	12.8	-9.2	0.0	0.0
14	1.001	-0.720	422.88		4.5	11.3	-0.0		26.84	10.81		4653.6	11.6	-9.8	0.0	0.0
15	1.064	-0.626	421.97		4.3	11.4	0.0		26.99	10.13		791.7	12.2	-10.4	0.0	0.0
16	0.813	-0.595	421.90		4.2	11.3	-0.1		26.77	10.09		-208.1	11.6	-9.2	0.0	0.0
17	1.001	-0.689	422.53		4.4	11.3	-0.0		26.83	10.40		531.6	12.2	-8.5	0.0	0.0
18	0.970	-0.783	422.67		4.5	11.4	0.0		27.11	10.68		1240.3	12.8	-8.5	0.0	0.0
19	1.001	-0.689	422.32		4.5	11.3	-0.0		26.93	10.82		1868.4	11.6	-9.8	0.0	0.0
20	1.126	-0.689	421.96		4.5	11.2	0.0		26.70	10.60		2393.9	12.2	-9.8	0.0	0.0
21	1.064	-0.720	421.54		4.3	11.3	0.1		26.96	10.34		2832.2	12.8	-9.8	0.0	0.0
22	1.127	-0.626	421.89		4.3	11.1	0.0		26.39	10.27		3199.0	12.2	-9.2	0.0	0.0
23	1.001	-0.626	422.32		4.4	11.2	0.0		26.70	10.45		3504.9	12.8	-10.4	0.0	0.0
24	1.033	-0.720	421.75		4.4	11.2	0.1		26.74	10.47		3761.8	11.6	-10.4	0.0	0.0
25	1.095	-0.720	421.12		4.5	11.1	0.0		26.40	10.72		3982.2	12.2	-8.5	0.0	0.0
26	1.221	-0.563	422.32		4.5	11.2	0.1		26.72	10.72		4129.3	12.8	-9.8	0.0	0.0
27	1.253	-0.752	421.33		4.4	11.4	0.1		27.08	10.39		4609.0	12.8	-9.2	0.0	0.0
28	0.876	-0.909	421.89		4.5	11.2	-0.0		26.54	10.85		784.3	12.8	-9.8	0.0	0.0
29	0.970	-0.689	422.39		4.5	11.3	-0.0		26.72	10.68		-207.5	11.6	-11.0	0.0	0.0
30	0.939	-0.689	421.26		4.3	11.3	0.0		26.97	10.34		305.8	11.6	-9.2	0.0	0.0
31	0.938	-0.720	422.39		4.6	11.2	-0.1		26.66	11.05		999.8	11.6	-8.5	0.0	0.0
32	1.001	-0.815	422.46		4.5	11.2	-0.0		26.69	10.64		1679.2	12.2	-9.8	0.0	0.0
33	0.782	-0.877	422.10		4.5	11.4	0.0		27.14	10.79		2227.9	12.2	-9.8	0.0	0.0
34	1.033	-0.877	422.52		4.8	11.3	-0.0		26.78	11.52		2692.4	11.6	-9.8	0.0	0.0
35	1.127	-0.877	421.54		4.4	11.2	0.0		26.67	10.44		3086.1	12.2	-9.2	0.0	0.0
36	0.970	-0.815	421.19		4.4	11.1	0.0		26.53	10.40		3412.7	12.8	-8.5	0.0	0.0
37	1.127	-0.972	421.82		4.6	11.2	0.0		26.54	10.90		3684.3	12.2	-8.5	0.0	0.0
38	1.033	-0.752	421.82		4.4	11.2	0.1		26.53	10.51		3912.0	11.6	-10.4	0.0	0.0
39	0.939	-0.752	420.90		4.5	11.2	0.0		26.61	10.86		4095.7	12.2	-9.8	0.0	0.0
40	1.064	-0.909	421.68		4.6	11.1	0.0		26.37	11.08		4320.9	12.8	-9.2	0.0	0.0
41	1.315	-0.815	422.04		4.5	11.2	0.1		26.68	10.74		3660.5	12.8	-9.2	0.0	0.0
42	1.096	-1.003	421.26		4.5	11.2	0.1		26.63	10.64		532.9	12.2	-9.8	0.0	0.0
43	0.907	-1.003	422.03		4.7	11.1	-0.0		26.48	11.31		-87.3	11.6	-10.4	0.0	0.0
44	1.001	-0.909	420.83		4.5	11.2	0.0		26.77	10.83		763.6	12.2	-8.5	0.0	0.0
45	0.907	-0.940	421.19		4.3	11.3	-0.0		26.82	10.32		1479.6	12.2	-9.8	0.0	0.0
46	0.876	-0.783	422.53		4.7	11.3	-0.0		26.71	11.23		2060.1	12.2	-9.8	0.0	0.0
47	0.907	-0.972	421.40		4.5	11.2	-0.0		26.72	10.64		2550.2	12.2	-9.8	0.0	0.0
48	1.001	-1.097	421.89		4.6	11.2	-0.0		26.73	10.95		2961.6	11.0	-10.4	0.0	0.0
49	1.095	-0.940	422.03		4.8	11.2	0.0		26.73	11.40		3312.6	12.8	-8.5	0.0	0.0
50	1.095	-1.003	421.40		4.5	11.2	0.1		26.68	10.73		3603.1	12.8	-9.2	0.0	0.0
51	1.126	-1.223	421.40		4.5	11.1	0.0		26.45	10.65		3844.8	12.2	-10.4	0.0	0.0
52	1.095	-1.066	421.96		4.6	11.1	0.0		26.35	10.99		4046.3	12.8	-9.2	0.0	0.0
53	1.001	-0.972	420.34		4.3	11.2	0.1		26.65	10.34		4179.9	12.2	-9.2	0.0	0.0
54	1.158	-1.066	420.98		4.5	11.0	0.0		26.30	10.75		4660.9	12.8	-9.8	0.0	0.0
55	1.220	-0.972	422.17		4.7	11.1	-0.0		26.38	11.21		793.5	12.8	-9.2	0.0	0.0
56	1.315	-1.066	421.61		4.4	11.1	0.1		26.53	10.41		-208.1	11.6	-9.2	0.0	0.0
57	1.283	-1.160	421.89		4.6	11.1	0.0		26.51	10.96		543.9	11.0	-11.0	0.0	0.0
58	1.126	-1.066	421.68		4.7	11.2	-0.0		26.55	11.28		1256.8	11.6	-9.8	0.0	0.0
59	1.032	-1.097	420.91		4.3	11.2	-0.0		26.67	10.33		1886.7	12.2	-9.2	0.0	0.0
60	1.095	-1.160	421.68		4.5	11.1	-0.0		26.31	10.73		2406.2	12.2	-11.0	0.0	0.0
61	1.001	-1.034	422.39		4.6	11.2	-0.1		26.55	10.89		2840.7	12.2	-9.8	0.0	0.0
