

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	1.142	-0.214	494.82		0.2	4.2	-0.0		8.53	0.44		5137.0	33.0	50.7	0.0	0.0
2	0.796	-0.057	497.15		0.2	4.3	-0.1		8.69	0.39		5134.0	33.0	51.3	0.0	0.0
3	0.922	-0.088	495.39		-0.0	4.0	-0.1		8.20	-0.04		5132.8	33.0	51.3	0.0	0.0
4	0.766	0.163	496.51		0.2	4.2	-0.1		8.47	0.41		5134.0	32.4	48.8	0.0	0.0
5	0.827	0.352	495.53		0.0	4.1	-0.2		8.34	0.01		5134.6	33.0	47.6	0.0	0.0
6	1.172	0.100	496.66		0.1	4.1	-0.2		8.40	0.18		5135.8	33.6	50.7	0.0	0.0
7	1.235	-0.245	495.39		0.2	4.2	-0.1		8.52	0.52		5135.2	33.6	51.9	0.0	0.0
8	1.048	-0.214	497.85		0.6	4.4	-0.0		8.99	1.25		5132.8	32.4	51.3	0.0	0.0
9	0.766	-0.088	495.11		0.1	4.2	-0.0		8.45	0.12		5133.4	32.4	49.4	0.0	0.0
10	0.986	-0.120	496.66		0.1	4.1	0.0		8.24	0.12		5134.6	32.4	48.2	0.0	0.0
11	1.111	-0.057	494.61		-0.1	4.0	0.0		8.15	-0.16		5136.4	33.0	49.4	0.0	0.0
12	1.079	0.194	496.87		-0.0	4.1	-0.0		8.36	-0.02		5136.4	33.6	51.3	0.0	0.0
13	1.173	0.132	495.82		-0.2	3.8	-0.1		7.81	-0.45		5134.0	32.4	52.5	0.0	0.0
14	1.048	0.163	498.00		0.3	4.1	-0.0		8.24	0.60		5134.0	31.7	50.1	0.0	0.0
15	0.922	0.069	495.59		0.2	4.0	-0.1		8.23	0.38		5135.8	33.0	48.8	0.0	0.0
16	1.424	0.163	496.80		0.1	4.2	-0.0		8.56	0.26		5136.4	33.6	48.8	0.0	0.0
17	1.738	0.100	494.89		-0.0	4.2	0.0		8.59	-0.01		5136.4	33.6	51.3	0.0	0.0
18	1.550	0.132	497.01		0.3	4.3	0.0		8.84	0.53		5133.4	32.4	50.7	0.0	0.0
19	0.985	0.132	495.67		-0.1	4.2	-0.1		8.55	-0.21		5133.4	32.4	49.4	0.0	0.0
20	0.954	0.163	497.15		0.1	4.2	-0.1		8.55	0.22		5134.6	33.0	48.2	0.0	0.0
21	1.142	0.195	494.90		-0.2	4.1	-0.1		8.40	-0.49		5135.8	32.4	47.6	0.0	0.0
22	1.016	0.415	496.37		0.2	4.1	-0.2		8.39	0.32		5136.4	32.4	49.4	0.0	0.0
23	1.266	0.257	494.75		-0.1	4.0	-0.2		8.16	-0.26		5134.0	33.0	51.3	0.0	0.0
24	1.549	-0.151	497.43		0.3	4.2	-0.0		8.53	0.63		5133.4	32.4	50.7	0.0	0.0
25	1.110	-0.183	495.88		0.1	4.2	-0.0		8.58	0.16		5133.4	33.0	48.2	0.0	0.0
26	1.236	-0.088	497.43		0.2	4.2	0.0		8.61	0.47		5134.0	33.6	48.2	0.0	0.0
27	1.236	-0.120	494.19		-0.3	3.9	0.0		8.07	-0.63		5135.8	33.6	50.7	0.0	0.0
28	1.299	-0.026	496.30		0.1	4.1	0.1		8.39	0.15		5133.4	33.0	50.7	0.0	0.0
