

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	0.689	-0.249	388.44		7.4	11.2	0.1		29.02	19.15		3823.5	12.8	-11.0	0.0	0.0
2	1.002	-0.029	389.43		7.7	11.2	0.1		28.84	19.78		4030.4	12.2	-10.4	0.0	0.0
3	1.065	0.222	389.29		7.4	11.3	0.2		29.11	18.97		4172.0	12.8	-9.2	0.0	0.0
4	0.877	0.128	388.72		7.5	11.3	0.2		29.26	19.20		4649.3	12.8	-9.2	0.0	0.0
5	1.033	-0.124	389.01		7.5	11.1	0.1		28.68	19.41		789.8	12.2	-8.5	0.0	0.0
6	0.939	-0.092	389.71		7.7	11.3	0.1		29.07	19.67		-208.8	12.2	-9.2	0.0	0.0
7	1.127	-0.029	389.08		7.4	11.4	0.2		29.35	19.05		493.8	11.0	-9.8	0.0	0.0
8	1.254	0.002	387.74		7.3	11.4	0.2		29.43	18.77		1205.5	12.2	-9.2	0.0	0.0
9	1.222	-0.092	389.22		7.6	11.4	0.2		29.35	19.45		1844.0	12.8	-9.2	0.0	0.0
10	1.127	-0.092	389.50		7.5	11.5	0.1		29.51	19.23		2368.9	12.2	-9.8	0.0	0.0
11	0.877	-0.124	389.08		7.3	11.5	0.1		29.52	18.86		2810.2	12.8	-9.2	0.0	0.0
12	0.689	-0.186	388.73		7.2	11.4	0.1		29.50	18.53		3178.3	11.6	-9.2	0.0	0.0
13	1.002	-0.124	389.00		7.5	11.5	0.1		29.63	19.31		3490.8	12.2	-9.2	0.0	0.0
14	1.033	0.096	389.15		7.3	11.6	0.1		29.94	18.79		3754.5	12.8	-9.2	0.0	0.0
15	0.783	0.159	388.51		7.2	11.6	0.1		29.81	18.57		3971.8	12.8	-8.5	0.0	0.0
16	0.938	-0.155	388.87		7.3	11.4	0.0		29.39	18.72		4118.9	12.8	-8.5	0.0	0.0
17	1.033	-0.218	389.85		7.5	11.6	0.1		29.83	19.18		4599.3	12.8	-9.8	0.0	0.0
18	1.002	-0.155	389.71		7.5	11.8	0.1		30.34	19.18		780.1	11.0	-9.2	0.0	0.0
19	0.814	-0.218	387.95		7.2	11.6	0.1		29.98	18.52		-205.1	12.2	-9.2	0.0	0.0
20	0.939	-0.343	389.08		7.4	11.5	0.1		29.53	18.98		275.9	12.8	-9.2	0.0	0.0
21	1.002	-0.281	389.36		7.3	11.5	0.1		29.70	18.76		966.2	12.8	-8.5	0.0	0.0
22	0.814	-0.438	388.16		7.1	11.6	0.1		29.94	18.28		1651.7	11.6	-9.2	0.0	0.0
23	0.689	-0.281	388.44		7.2	11.5	0.1		29.59	18.45		2204.7	11.0	-10.4	0.0	0.0
24	0.908	-0.124	388.37		7.3	11.5	0.1		29.58	18.70		2674.7	12.2	-9.2	0.0	0.0
25	0.971	-0.155	389.01		7.0	11.5	0.1		29.63	17.92		3069.6	12.8	-8.5	0.0	0.0
26	0.720	-0.186	388.23		6.9	11.6	0.1		29.83	17.91		3398.6	12.2	-8.5	0.0	0.0
27	0.814	-0.438	388.87		7.2	11.5	0.1		29.69	18.45		3673.3	12.8	-9.8	0.0	0.0
28	0.689	-0.343	389.22		7.3	11.5	0.1		29.69	18.67		3901.6	12.8	-9.8	0.0	0.0
29	0.815	-0.155	388.80		7.1	11.7	0.2		30.11	18.18		4090.2	11.6	-9.2	0.0	0.0
30	0.878	-0.249	387.60		6.8	11.6	0.2		30.05	17.59		4272.1	12.2	-8.5	0.0	0.0
31	0.846	-0.375	388.94		7.1	11.6	0.1		29.97	18.29		4139.0	12.8	-9.2	0.0	0.0
32	0.626	-0.375	389.22		7.2	11.7	0.1		30.19	18.48		656.2	12.2	-9.2	0.0	0.0
33	0.344	-0.406	388.30		7.0	11.7	0.1		30.20	18.07		-141.0	12.8	-9.8	0.0	0.0
34	0.407	-0.438	388.23		6.8	11.7	0.1		30.06	17.63		720.3	11.6	-11.0	0.0	0.0
35	0.626	-0.375	388.44		7.1	11.7	0.1		30.22	18.26		1440.5	12.2	-9.8	0.0	0.0
36	0.595	-0.249	388.37		6.8	11.8	0.0		30.50	17.61		2031.4	12.8	-9.8	0.0	0.0
37	0.282	-0.312	388.02		6.8	11.8	0.0		30.35	17.58		2527.6	12.8	-9.2	0.0	0.0
38	0.375	-0.563	388.37		6.8	11.7	-0.0		30.11	17.63		2942.7	12.8	-9.2	0.0	0.0
39	0.469	-0.658	388.94		7.0	11.8	0.1		30.45	18.01		3290.0	11.6	-11.0	0.0	0.0
40	0.407	-0.595	388.65		7.1	11.9	0.1		30.72	18.22		3583.6	12.8	-9.8	0.0	0.0
41	0.219	-0.532	387.60		6.7	11.9	0.1		30.69	17.42		3832.0	12.8	-9.2	0.0	0.0
42	0.344	-0.626	388.37		6.9	11.7	0.1		30.23	17.94		4038.3	12.8	-9.8	0.0	0.0
43	0.376	-0.720	388.44		6.9	11.7	0.1		30.26	17.79		4172.6	13.4	-9.2	0.0	0.0
44	0.094	-0.783	387.60		6.7	11.9	0.1		30.62	17.24		4647.5	12.8	-8.5	0.0	0.0
45	0.188	-0.815	387.60		6.7	11.8	0.1		30.50	17.24		789.2	11.0	-9.2	0.0	0.0
46	0.313	-0.689	387.10		6.8	11.7	0.1		30.33	17.60		-208.1	12.2	-9.2	0.0	0.0
47	0.282	-0.563	387.95		6.6	11.9	0.1		30.64	17.05		503.0	12.8	-9.2	0.0	0.0
48	0.094	-0.657	387.53		6.6	11.9	0.1		30.72	16.98		1211.0	12.8	-9.2	0.0	0.0
49	0.125	-0.940	388.44		6.8	11.7	0.0		30.18	17.51		1845.2	12.2	-9.2	0.0	0.0
50	0.219	-0.846	388.66		6.8	11.8	0.1		30.45	17.54		2367.1	11.6	-10.4	0.0	0.0
51	0.345	-0.720	387.53		6.6	11.9	0.1		30.68	17.19		2812.7	12.2	-9.2	0.0	0.0
52	0.283	-0.846	387.53		6.5	11.9	0.2		30.80	16.90		3185.0	12.8	-8.5	0.0	0.0
53	0.220	-1.034	387.81		6.6	11.9	0.1		30.58	17.20		3495.7	12.2	-8.5	0.0	0.0
54	0.125	-1.129	388.44		6.8	11.9	0.1		30.68	17.53		3754.5	12.8	-9.2	0.0	0.0
55	-0.093	-1.003	387.60		6.5	12.0	0.1		30.99	16.76		3970.6	11.6	-9.8	0.0	0.0
56	0.000	-1.034	387.25		6.3	12.0	0.0		30.86	16.42		4116.5	11.0	-9.2	0.0	0.0
57	0.251	-1.034	388.38		6.6	12.0	0.0		30.92	16.97		4604.8	12.2	-8.5	0.0	0.0
58	-0.031	-0.909	388.38		6.5	12.1	-0.0		31.02	16.86		783.1	12.2	-8.5	0.0	0.0
59	-0.157	-0.877	388.38		6.4	12.1	-0.0		31.14	16.66		-204.5	12.2	-10.4	0.0	0.0
60	-0.126	-1.129	388.17		6.3	11.9	-0.0		30.75	16.34		272.2	12.8	-9.8	0.0	0.0
61	0.125	-1.223	388.66		6.7	12.1	0.1		31.14	17.28		959.5	11.6	-9.8	0.0	0.0
62	0.220	-1.191	388.38		6.5	12.1	0.1		31.24	16.89		1652.3	13.4	-9.2	0.0	0.0
63	0.032	-1.254	388.02		6.4	12.1	0.1		31.28	16.56		2209.0	12.2	-8.5	0.0	0.0
64	0.094	-1.317	388.59		6.5	12.0	0.0		30.86	16.84		2676.6	12.2	-8.5	0.0	0.0
65	0.094	-1.474	388.59		6.4	12.0	0.1		30.99	16.65		3067.8	12.8	-9.2	0.0	0.0
66	0.032	-1.443	388.59		6.2	12.1	0.1		31.11	16.15		3394.4	12.2	-11.0	0.0	0.0
