

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	2.420	-2.288	412.17		-31.2	2.9	-0.2		7.30	-75.63		5212.1	34.8	51.3	0.0	0.0
2	2.325	-2.791	411.53		-30.9	2.9	-0.3		7.15	-74.82		5211.5	35.4	52.5	0.0	0.0
3	2.546	-2.854	413.86		-30.5	3.2	-0.1		7.88	-73.41		5211.5	34.8	58.6	0.0	0.0
4	2.077	-2.728	412.52		-30.8	3.2	-0.1		7.95	-74.55		5210.9	34.8	54.3	0.0	0.0
5	2.264	-2.885	413.01		-30.4	3.1	-0.1		7.57	-73.46		5212.1	35.4	53.1	0.0	0.0
6	2.327	-2.446	413.16		-31.0	3.1	-0.1		7.69	-74.88		5211.5	36.0	52.5	0.0	0.0
7	2.014	-2.634	410.83		-31.3	2.9	-0.1		7.20	-75.90		5211.5	36.0	53.7	0.0	0.0
8	2.453	-2.917	412.38		-30.7	2.9	-0.0		7.21	-74.18		5212.1	34.8	44.6	0.0	0.0
9	2.360	-2.540	412.38		-31.2	3.0	0.1		7.50	-75.53		5212.1	34.8	45.8	0.0	0.0
10	2.202	-2.571	411.11		-30.9	2.9	-0.1		7.21	-75.00		5212.7	34.8	52.5	0.0	0.0
11	2.453	-2.351	413.09		-30.8	3.1	-0.1		7.67	-74.38		5212.7	34.8	47.0	0.0	0.0
12	2.015	-2.351	411.68		-31.6	2.9	-0.1		7.12	-76.62		5212.7	34.8	48.8	0.0	0.0
13	2.359	-2.822	412.17		-31.0	2.8	-0.1		6.99	-75.03		5213.3	34.2	50.7	0.0	0.0
14	2.484	-2.508	413.16		-31.2	2.9	-0.1		7.28	-75.34		5212.7	34.8	51.3	0.0	0.0
15	1.982	-2.602	411.60		-30.9	2.9	-0.2		7.28	-74.96		5212.7	34.8	51.9	0.0	0.0
16	2.453	-2.697	412.80		-30.6	3.1	-0.1		7.74	-73.84		5212.1	34.8	63.5	0.0	0.0
17	2.391	-2.351	412.17		-31.1	3.1	-0.1		7.71	-75.25		5212.7	35.4	59.8	0.0	0.0
18	2.390	-2.571	411.18		-31.2	3.0	-0.2		7.55	-75.60		5212.7	35.4	53.7	0.0	0.0
19	2.893	-2.446	413.44		-30.8	3.3	0.0		8.15	-74.26		5212.7	34.8	56.2	0.0	0.0
20	2.611	-2.477	410.83		-31.2	3.2	0.0		7.91	-75.72		5212.1	34.2	54.9	0.0	0.0
21	2.516	-2.791	411.81		-30.7	3.2	-0.1		8.00	-74.29		5212.1	34.8	52.5	0.0	0.0
22	2.171	-2.477	413.23		-31.1	3.4	-0.1		8.36	-75.10		5212.1	35.4	54.3	0.0	0.0
23	1.825	-2.697	411.61		-31.3	3.2	-0.3		7.80	-75.89		5212.1	34.8	54.3	0.0	0.0
24	2.201	-2.822	412.73		-30.9	3.4	-0.2		8.29	-74.64		5211.5	34.8	48.8	0.0	0.0
25	2.014	-2.603	411.96		-31.4	3.3	-0.1		8.08	-75.98		5211.5	35.4	52.5	0.0	0.0
26	1.951	-2.822	411.25		-31.1	3.1	-0.2		7.79	-75.33		5210.9	34.2	52.5	0.0	0.0
27	2.014	-2.320	412.80		-31.1	3.3	-0.2		8.06	-75.09		5210.9	34.8	56.2	0.0	0.0
28	1.732	-2.100	411.54		-31.2	3.2	-0.3		8.00	-75.72		5211.5	35.4	57.4	0.0	0.0
29	2.201	-2.571	412.52		-30.8	3.1	-0.3		7.78	-74.37		5212.1	35.4	57.4	0.0	0.0
30	2.483	-2.477	412.66		-31.1	3.2	-0.2		8.04	-75.20		5212.1	35.4	54.3	0.0	0.0
31	2.264	-2.791	410.83		-31.1	3.1	-0.2		7.82	-75.60		5212.7	34.8	53.7	0.0	0.0
32	2.453	-3.168	413.29		-30.5	3.4	-0.1		8.30	-73.67		5212.7	34.8	51.3	0.0	0.0
33	2.140	-2.948	412.45		-31.0	3.5	-0.0		8.65	-74.87		5213.3	35.4	52.5	0.0	0.0
34	2.045	-3.137	411.46		-30.7	3.3	-0.1		8.18	-74.47		5212.7	35.4	51.9	0.0	0.0
35	2.203	-2.885	412.52		-31.1	3.4	-0.0		8.32	-75.10		5212.7	34.8	43.9	0.0	0.0
36	1.921	-2.948	410.55		-31.4	3.1	-0.1		7.80	-76.21		5213.3	35.4	48.8	0.0	0.0
37	2.296	-3.451	411.81		-31.1	3.2	-0.1		8.04	-75.18		5212.7	34.8	50.1	0.0	0.0
38	2.235	-2.823	412.60		-31.4	3.2	0.0		7.99	-75.80		5212.7	34.8	53.1	0.0	0.0
39	1.952	-2.885	410.27		-31.3	3.2	-0.0		7.87	-75.98		5212.1	35.4	53.1	0.0	0.0
40	2.266	-2.917	412.17		-31.0	3.3	0.0		8.13	-75.02		5212.1	35.4	51.3	0.0	0.0
41	2.078	-2.603	411.33		-31.5	3.2	-0.0		7.88	-76.42		5212.1	34.8	55.5	0.0	0.0
42	2.139	-3.137	411.33		-31.3	2.9	-0.1		7.11	-75.82		5212.1	34.8	47.6	0.0	0.0
43	2.265	-3.042	412.67		-31.5	3.1	-0.1		7.66	-76.00		5211.5	34.8	37.8	0.0	0.0
44	1.984	-2.948	410.90		-31.3	3.1	-0.1		7.65	-75.91		5212.1	34.8	46.4	0.0	0.0
45	2.422	-3.325	411.60		-30.7	3.1	-0.1		7.79	-74.24		5210.9	34.2	47.6	0.0	0.0
46	2.141	-3.074	411.61		-31.4	3.4	-0.0		8.42	-76.05		5211.5	34.8	52.5	0.0	0.0
47	2.109	-3.136	410.55		-31.3	3.2	-0.1		7.87	-76.00		5211.5	35.4	64.7	0.0	0.0
48	2.642	-3.137	412.24		-31.1	3.4	-0.0		8.48	-75.22		5211.5	34.8	59.2	0.0	0.0
