

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	3.069	-0.594	949.12		-24.2	5.1	-0.1		5.49	-25.43		5215.8	36.6	57.4	0.0	0.0
2	3.225	-0.720	948.83		-23.7	5.1	-0.1		5.50	-24.90		5215.2	36.6	61.0	0.0	0.0
3	3.477	-0.375	950.25		-24.0	5.4	-0.0		5.81	-25.20		5214.6	37.2	57.4	0.0	0.0
4	3.165	-0.406	947.99		-24.2	5.4	0.0		5.76	-25.47		5213.9	37.2	50.1	0.0	0.0
5	2.975	-0.532	949.89		-23.4	5.4	-0.1		5.81	-24.66		5213.9	36.6	49.4	0.0	0.0
6	2.473	-0.312	949.62		-24.3	5.5	-0.1		5.85	-25.53		5213.9	36.6	53.7	0.0	0.0
7	2.754	-0.406	949.05		-23.9	5.3	-0.2		5.65	-25.17		5213.3	37.2	59.2	0.0	0.0
8	2.911	0.003	950.67		-23.7	5.4	-0.2		5.81	-24.96		5213.9	36.6	59.8	0.0	0.0
9	2.754	-0.092	949.19		-24.1	5.3	-0.2		5.73	-25.42		5213.9	36.0	59.2	0.0	0.0
10	3.193	-0.595	951.23		-23.2	5.4	-0.1		5.74	-24.40		5213.9	36.6	56.2	0.0	0.0
11	2.819	-0.123	951.03		-23.6	5.5	0.0		5.90	-24.85		5214.6	37.2	55.5	0.0	0.0
12	2.692	-0.312	948.70		-23.8	5.2	-0.1		5.59	-25.12		5214.6	36.6	58.0	0.0	0.0
13	3.006	-0.061	950.25		-23.7	5.4	-0.0		5.74	-24.93		5215.2	36.6	58.0	0.0	0.0
14	2.662	0.128	948.42		-24.1	5.2	-0.0		5.59	-25.39		5214.6	36.6	58.0	0.0	0.0
15	2.880	-0.343	950.04		-23.7	5.1	-0.1		5.41	-24.90		5215.8	37.2	64.1	0.0	0.0
16	2.724	-0.092	951.31		-23.8	5.2	-0.1		5.51	-25.04		5215.8	36.6	62.3	0.0	0.0
17	2.441	-0.186	949.05		-23.6	5.2	-0.2		5.59	-24.85		5215.2	37.2	58.0	0.0	0.0
18	2.975	-0.029	950.88		-23.3	5.5	-0.1		5.86	-24.52		5217.0	37.2	56.8	0.0	0.0
19	3.039	0.097	949.90		-23.7	5.4	0.0		5.84	-25.00		5215.8	36.6	58.6	0.0	0.0
20	2.880	-0.249	950.67		-23.3	5.4	-0.1		5.74	-24.46		5214.6	37.2	58.0	0.0	0.0
21	2.441	0.097	951.80		-23.8	5.5	-0.2		5.84	-24.98		5215.2	37.8	56.2	0.0	0.0
22	2.347	-0.060	949.54		-23.8	5.3	-0.2		5.70	-25.07		5215.2	37.2	57.4	0.0	0.0
23	2.629	0.065	950.81		-23.3	5.4	-0.1		5.78	-24.51		5214.6	36.6	53.7	0.0	0.0
24	2.378	0.537	950.32		-23.6	5.3	-0.3		5.71	-24.89		5214.6	37.2	56.2	0.0	0.0
25	2.878	-0.218	950.46		-23.2	5.2	-0.3		5.60	-24.45		5213.9	37.2	54.9	0.0	0.0
26	2.755	-0.029	952.15		-23.2	5.7	-0.1		6.10	-24.37		5213.3	36.6	56.8	0.0	0.0
27	2.254	0.002	950.04		-23.6	5.4	-0.1		5.73	-24.83		5213.9	36.6	56.2	0.0	0.0
28	2.974	-0.186	951.09		-23.3	5.3	-0.0		5.71	-24.53		5213.9	37.2	71.4	0.0	0.0
29	2.630	0.285	951.31		-23.6	5.5	0.0		5.84	-24.77		5214.6	37.8	70.2	0.0	0.0
30	2.472	0.002	950.67		-23.6	5.1	-0.2		5.49	-24.80		5214.6	37.8	61.6	0.0	0.0
31	2.566	0.097	953.14		-23.3	5.2	-0.1		5.59	-24.43		5214.6	37.2	56.2	0.0	0.0
32	2.316	0.254	950.67		-23.3	5.4	-0.2		5.77	-24.52		5215.8	37.2	59.2	0.0	0.0
33	2.816	0.191	951.30		-22.8	5.4	-0.2		5.77	-23.95		5215.2	36.6	58.6	0.0	0.0
34	3.069	0.379	951.23		-23.5	5.5	-0.0		5.92	-24.71		5214.6	36.6	54.9	0.0	0.0
35	2.879	0.097	950.24		-23.1	5.5	-0.2		5.87	-24.36		5215.8	37.2	59.2	0.0	0.0
36	2.690	0.254	952.64		-23.0	5.6	-0.2		5.95	-24.18		5215.8	36.6	54.3	0.0	0.0
