

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	0.963	-0.282	542.97		11.4	-2.9	-0.2		-5.21	21.01		3662.9	12.2	-9.8	0.0	0.0
2	1.182	-0.282	543.88		11.8	-2.8	-0.1		-5.08	21.72		3896.1	11.6	-9.2	0.0	0.0
3	1.089	-0.376	542.76		11.5	-2.9	-0.1		-5.28	21.13		4091.4	12.2	-9.8	0.0	0.0
4	1.183	-0.313	542.89		11.7	-2.9	-0.1		-5.27	21.55		4252.6	12.8	-9.8	0.0	0.0
5	1.026	-0.313	542.33		11.3	-3.0	-0.1		-5.47	20.93		4318.5	12.2	-10.4	0.0	0.0
6	1.026	-0.313	543.25		11.7	-3.0	-0.1		-5.39	21.50		701.9	11.6	-10.4	0.0	0.0
7	1.403	-0.282	543.32		11.5	-2.9	-0.0		-5.30	21.25		-171.5	12.2	-10.4	0.0	0.0
8	1.152	-0.407	542.76		11.5	-2.8	-0.1		-5.05	21.28		672.6	12.8	-10.4	0.0	0.0
9	1.246	-0.408	543.39		11.8	-2.9	-0.1		-5.24	21.79		1388.0	11.6	-10.4	0.0	0.0
10	0.995	-0.345	542.26		11.4	-2.8	-0.1		-5.04	21.12		1989.9	12.2	-9.8	0.0	0.0
11	1.151	-0.313	543.25		11.8	-2.8	-0.1		-5.11	21.72		2494.7	11.6	-9.2	0.0	0.0
12	1.245	-0.502	543.11		11.8	-2.8	-0.1		-5.10	21.73		2918.9	12.2	-9.8	0.0	0.0
13	1.152	-0.659	542.19		11.6	-3.0	-0.1		-5.41	21.39		3277.2	12.8	-9.2	0.0	0.0
14	1.308	-0.470	542.47		11.7	-2.9	-0.1		-5.31	21.51		3572.6	12.2	-9.8	0.0	0.0
15	1.214	-0.470	541.70		11.4	-2.9	-0.1		-5.35	21.15		3824.7	12.8	-9.8	0.0	0.0
16	1.340	-0.439	542.89		11.9	-2.9	-0.1		-5.35	21.92		4032.2	11.6	-10.4	0.0	0.0
17	1.497	-0.502	541.27		11.5	-2.8	-0.0		-5.11	21.24		4171.4	11.6	-9.2	0.0	0.0
18	1.465	-0.533	542.19		11.9	-2.9	-0.1		-5.21	21.95		4652.4	11.6	-8.5	0.0	0.0
19	1.433	-0.564	542.05		11.5	-2.8	-0.1		-5.13	21.32		791.1	12.2	-10.4	0.0	0.0
20	1.245	-0.439	541.62		11.6	-2.8	-0.1		-5.10	21.47		-209.4	12.2	-9.8	0.0	0.0
21	1.465	-0.376	542.05		11.8	-2.9	-0.1		-5.21	21.88		445.6	11.0	-10.4	0.0	0.0
22	1.465	-0.502	541.55		11.7	-2.8	-0.1		-5.01	21.58		1156.1	12.2	-10.4	0.0	0.0
23	1.559	-0.376	541.90		11.8	-2.9	-0.1		-5.21	21.89		1803.1	11.0	-11.0	0.0	0.0
24	1.590	-0.345	541.06		11.7	-2.9	-0.1		-5.35	21.56		2338.4	11.6	-10.4	0.0	0.0
25	1.559	-0.313	541.34		11.8	-2.9	-0.1		-5.26	21.76		2787.6	12.2	-8.5	0.0	0.0
26	1.810	-0.345	542.19		11.9	-3.0	-0.1		-5.51	22.01		3164.3	12.2	-10.4	0.0	0.0
