

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	1.320	-2.290	754.84		-41.7	-4.7	0.1		-6.16	-55.09		1960.0	1874.5	1759.1	0.0	0.0
2	1.476	-2.102	754.99		-41.9	-4.7	-0.0		-6.22	-55.45		1959.3	1873.9	1758.5	0.0	0.0
3	1.381	-1.630	754.00		-42.4	-4.9	-0.2		-6.43	-56.11		1963.0	1877.6	1763.4	0.0	0.0
4	1.037	-1.379	753.16		-42.3	-4.9	-0.2		-6.48	-56.13		1964.2	1876.3	1761.0	0.0	0.0
5	1.006	-1.473	753.02		-42.7	-4.9	-0.1		-6.42	-56.60		1956.9	1871.5	1755.5	0.0	0.0
6	0.850	-1.787	753.16		-42.7	-5.0	-0.0		-6.56	-56.58		1953.9	1866.6	1750.0	0.0	0.0
7	0.567	-1.976	753.51		-42.8	-4.9	-0.1		-6.48	-56.67		1955.7	1868.4	1750.0	0.0	0.0
8	0.724	-2.196	753.37		-42.4	-5.0	-0.1		-6.54	-56.21		1955.7	1869.0	1750.0	0.0	0.0
9	1.195	-2.196	752.87		-42.2	-5.0	0.0		-6.64	-56.01		1958.7	1870.2	1751.2	0.0	0.0
10	1.634	-2.133	752.87		-42.1	-5.1	0.0		-6.65	-55.86		1963.6	1875.1	1759.1	0.0	0.0
11	1.507	-2.321	752.94		-42.0	-5.1	-0.1		-6.74	-55.62		1970.3	1879.4	1761.6	0.0	0.0
12	1.445	-2.416	754.00		-41.9	-5.0	-0.1		-6.62	-55.51		1969.1	1879.4	1759.1	0.0	0.0
13	1.571	-2.227	754.70		-41.9	-5.1	0.0		-6.67	-55.42		1968.5	1878.8	1758.5	0.0	0.0
14	1.352	-2.039	754.78		-42.5	-5.1	0.1		-6.77	-56.27		1974.0	1883.0	1762.8	0.0	0.0
15	1.289	-1.913	754.93		-42.6	-5.1	0.1		-6.73	-56.31		1977.7	1886.7	1765.2	0.0	0.0
16	1.070	-1.819	754.22		-42.5	-5.1	0.1		-6.72	-56.32		1976.4	1887.9	1767.1	0.0	0.0
17	1.164	-1.850	753.09		-42.5	-5.2	0.1		-6.85	-56.35		1979.5	1891.6	1775.6	0.0	0.0
18	1.195	-1.882	752.38		-42.5	-5.2	0.0		-6.92	-56.40		1980.1	1891.6	1775.6	0.0	0.0
19	1.101	-2.164	752.59		-42.4	-5.1	0.0		-6.75	-56.24		1970.9	1884.9	1767.1	0.0	0.0
20	1.257	-2.416	754.07		-42.1	-5.1	0.0		-6.68	-55.74		1966.1	1881.2	1764.6	0.0	0.0
21	1.600	-2.384	754.43		-42.1	-5.2	-0.1		-6.87	-55.69		1964.2	1878.8	1762.8	0.0	0.0
22	1.506	-2.196	754.35		-42.0	-5.2	-0.2		-6.89	-55.52		1961.8	1874.5	1760.4	0.0	0.0
23	1.445	-2.070	754.21		-42.0	-5.1	-0.1		-6.73	-55.54		1960.6	1873.3	1757.3	0.0	0.0
24	1.758	-2.007	754.49		-41.9	-5.1	0.0		-6.72	-55.47		1963.0	1876.3	1761.0	0.0	0.0
25	1.601	-1.913	754.00		-42.2	-5.1	0.0		-6.68	-55.84		1966.1	1877.6	1760.4	0.0	0.0
26	1.570	-1.819	754.71		-42.5	-5.1	-0.0		-6.74	-56.21		1961.2	1875.7	1756.7	0.0	0.0
27	1.696	-1.756	754.15		-42.5	-5.1	0.1		-6.74	-56.25		1958.7	1871.5	1753.0	0.0	0.0
28	2.042	-1.756	753.30		-42.4	-5.2	0.1		-6.80	-56.16		1957.5	1870.2	1754.3	0.0	0.0
29	1.760	-1.976	753.09		-42.5	-5.2	0.1		-6.83	-56.29		1960.0	1870.8	1753.6	0.0	0.0
30	1.258	-2.007	752.80		-42.3	-5.3	0.1		-6.95	-56.06		1963.6	1873.9	1754.9	0.0	0.0
31	1.226	-1.976	753.15		-42.0	-5.5	0.0		-7.19	-55.64		1971.6	1882.4	1762.8	0.0	0.0
32	1.601	-1.976	753.02		-42.1	-5.7	0.0		-7.44	-55.86		1971.6	1883.7	1764.0	0.0	0.0
33	1.851	-1.882	753.80		-42.3	-5.6	-0.0		-7.41	-55.99		1970.3	1881.2	1759.8	0.0	0.0
34	2.008	-1.976	753.86		-41.9	-5.4	0.1		-7.12	-55.49		1974.6	1881.2	1760.4	0.0	0.0
35	2.134	-2.070	753.79		-42.0	-5.4	0.1		-7.10	-55.62		1978.9	1886.7	1765.2	0.0	0.0
36	2.009	-2.039	754.00		-42.1	-5.4	0.1		-7.05	-55.68		1980.7	1889.2	1768.9	0.0	0.0
