

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	1.144	-0.566	698.71		-1.5	3.7	-0.2		5.38	-2.14		1388.6	1338.6	1256.8	0.0	0.0
2	1.804	-0.597	698.85		-1.1	3.8	-0.0		5.51	-1.58		1392.3	1344.1	1262.9	0.0	0.0
3	2.306	-0.315	698.57		-1.5	3.8	0.1		5.50	-2.10		1392.9	1344.1	1262.9	0.0	0.0
4	2.055	-0.063	699.14		-1.9	3.7	0.0		5.41	-2.72		1386.8	1338.6	1257.4	0.0	0.0
5	1.584	-0.032	697.73		-1.8	3.7	-0.1		5.44	-2.61		1382.5	1334.9	1256.2	0.0	0.0
6	1.271	-0.220	697.72		-1.6	3.7	-0.1		5.32	-2.33		1380.7	1333.1	1253.7	0.0	0.0
7	1.114	-0.566	698.22		-1.6	3.5	-0.1		5.01	-2.28		1375.2	1329.4	1251.9	0.0	0.0
8	1.458	-0.597	698.79		-1.7	3.3	-0.2		4.84	-2.45		1378.3	1330.6	1255.6	0.0	0.0
9	1.928	-0.346	698.64		-1.5	3.6	-0.1		5.22	-2.12		1383.8	1333.1	1255.0	0.0	0.0
10	1.898	-0.252	699.28		-1.7	3.7	0.0		5.44	-2.43		1379.5	1330.6	1250.1	0.0	0.0
11	1.679	-0.158	699.35		-1.8	3.7	0.0		5.38	-2.52		1372.8	1325.8	1246.4	0.0	0.0
12	1.459	-0.001	698.57		-1.8	3.7	-0.0		5.36	-2.56		1373.4	1324.5	1245.2	0.0	0.0
13	1.146	-0.315	698.50		-1.5	3.8	-0.0		5.47	-2.18		1373.4	1323.3	1242.1	0.0	0.0
14	1.333	-0.660	699.28		-1.4	3.7	-0.0		5.42	-1.97		1374.0	1325.8	1244.0	0.0	0.0
15	1.865	-0.598	698.99		-1.3	3.6	-0.2		5.27	-1.81		1381.3	1332.5	1250.7	0.0	0.0
16	1.864	-0.346	699.28		-1.5	3.6	-0.2		5.26	-2.09		1382.5	1332.5	1251.3	0.0	0.0
17	1.615	0.031	699.77		-1.6	3.9	-0.1		5.58	-2.25		1383.8	1330.0	1248.2	0.0	0.0
18	1.553	0.125	700.20		-1.7	3.8	-0.0		5.54	-2.47		1385.6	1332.5	1250.1	0.0	0.0
19	1.302	-0.158	699.35		-1.8	3.9	-0.1		5.57	-2.63		1388.6	1336.8	1255.0	0.0	0.0
20	1.052	-0.283	698.93		-1.8	3.8	-0.1		5.42	-2.62		1389.2	1338.6	1256.8	0.0	0.0
21	1.427	-0.535	698.43		-1.6	3.7	-0.1		5.43	-2.20		1392.3	1344.7	1264.7	0.0	0.0
22	2.023	-0.629	698.29		-1.4	3.5	-0.0		5.17	-2.03		1391.7	1344.7	1265.3	0.0	0.0
23	2.274	-0.409	699.91		-1.4	3.8	-0.0		5.47	-2.01		1388.6	1341.0	1259.8	0.0	0.0
24	1.898	-0.221	700.83		-1.5	3.8	-0.0		5.50	-2.10		1386.8	1337.4	1258.6	0.0	0.0
25	1.553	-0.221	699.99		-1.7	3.7	-0.0		5.35	-2.38		1389.9	1339.2	1258.0	0.0	0.0
26	1.303	-0.315	700.13		-1.9	3.5	-0.1		5.05	-2.65		1386.2	1338.0	1258.0	0.0	0.0
27	1.177	-0.346	698.72		-1.9	3.5	-0.1		5.06	-2.76		1380.7	1335.5	1259.2	0.0	0.0
28	1.334	-0.315	698.22		-1.7	3.6	-0.0		5.23	-2.46		1383.8	1336.1	1258.0	0.0	0.0
29	1.772	-0.503	699.06		-1.5	3.6	-0.0		5.28	-2.11		1378.9	1332.5	1252.5	0.0	0.0
30	1.992	-0.786	699.91		-1.3	3.6	0.0		5.28	-1.82		1370.9	1326.4	1248.2	0.0	0.0
31	1.836	-0.598	700.27		-1.6	3.7	0.1		5.43	-2.25		1370.9	1324.5	1245.2	0.0	0.0
32	1.553	-0.409	700.98		-1.6	3.8	0.0		5.55	-2.31		1372.8	1323.3	1242.8	0.0	0.0
33	1.365	-0.472	700.62		-1.6	3.8	-0.0		5.53	-2.28		1375.2	1324.5	1246.4	0.0	0.0
34	1.552	-0.566	699.77		-1.7	3.7	-0.1		5.33	-2.39		1382.5	1334.3	1252.5	0.0	0.0
35	1.520	-0.440	699.35		-1.7	3.5	-0.3		5.09	-2.34		1378.9	1330.6	1250.1	0.0	0.0
36	1.520	-0.252	699.63		-1.3	3.6	-0.2		5.23	-1.79		1375.8	1327.6	1247.0	0.0	0.0
37	1.991	-0.535	700.12		-1.3	3.7	-0.1		5.33	-1.81		1380.7	1330.6	1249.5	0.0	0.0
38	1.834	-0.598	700.90		-1.5	3.8	-0.0		5.44	-2.11		1386.2	1332.5	1251.9	0.0	0.0
39	1.333	-0.346	700.48		-1.9	3.8	-0.1		5.46	-2.67		1391.7	1336.8	1256.2	0.0	0.0
40	1.490	-0.346	699.35		-1.8	3.7	-0.1		5.40	-2.57		1397.8	1344.7	1263.5	0.0	0.0
41	1.836	-0.597	698.08		-1.7	3.6	0.0		5.25	-2.45		1395.3	1345.9	1262.9	0.0	0.0
42	1.742	-0.754	699.00		-1.6	3.7	-0.0		5.37	-2.24		1387.4	1338.0	1258.6	0.0	0.0
43	1.834	-0.754	699.49		-1.2	3.6	-0.1		5.24	-1.71		1388.0	1336.8	1257.4	0.0	0.0
44	1.960	-0.880	700.40		-1.1	3.5	-0.0		5.16	-1.51		1385.6	1336.8	1256.8	0.0	0.0
45	1.804	-0.786	701.11		-1.4	3.6	0.0		5.18	-2.02		1381.9	1334.3	1256.2	0.0	0.0
46	1.647	-0.221	700.06		-1.9	3.5	0.0		5.09	-2.74		1386.8	1336.1	1260.5	0.0	0.0
47	1.397	-0.252	698.22		-1.7	3.6	0.0		5.16	-2.46		1388.6	1339.2	1261.1	0.0	0.0
48	1.365	-0.723	698.29		-1.7	3.4	0.0		4.97	-2.41		1379.5	1332.5	1254.3	0.0	0.0
49	1.522	-0.975	698.71		-1.5	3.3	-0.0		4.86	-2.12		1372.8	1325.2	1248.9	0.0	0.0
50	1.678	-0.975	699.35		-1.3	3.5	-0.1		5.10	-1.76		1368.5	1323.3	1245.8	0.0	0.0
51	1.772	-0.943	700.68		-0.9	3.8	0.0		5.50	-1.18		1371.5	1322.1	1244.0	0.0	0.0
52	1.866	-0.692	700.83		-1.1	3.8	0.0		5.57	-1.52		1374.6	1324.5	1247.0	0.0	0.0
53	1.928	-0.315	699.49		-1.4	3.7	-0.1		5.35	-2.01		1378.9	1329.4	1248.2	0.0	0.0
54	1.646	-0.095	698.65		-1.8	3.5	-0.2		5.13	-2.52		1378.3	1327.6	1245.8	0.0	0.0
55	1.333	-0.189	698.50		-1.6	3.5	-0.2		5.05	-2.24		1377.0	1323.9	1242.8	0.0	0.0
56	1.427	-0.692	698.08		-1.4	3.5	-0.1		5.13	-2.00		1380.7	1327.6	1246.4	0.0	0.0
57	1.615	-0.974	699.35		-1.2	3.6	-0.1		5.27	-1.70		1382.5	1329.4	1248.2	0.0	0.0
58	1.615	-0.723	700.33		-1.2	3.8	-0.1		5.47	-1.71		1384.4	1333.1	1251.9	0.0	0.0
59	1.741	-0.346	700.19		-1.1	4.0	0.0		5.73	-1.51		1394.1	1342.9	1260.5	0.0	0.0
60	2.118	-0.158	698.64		-1.6	3.6	0.1		5.30	-2.24		1393.5	1342.9	1260.5	0.0	0.0
61	2.055	-0.220	698.29		-1.6	3.5	0.0		5.14	-2.27		1388.0	1338.0	1256.8	0.0	0.0
62	1.521	-0.503	697.51		-1.5	3.5	-0.1		5.14	-2.06		1385.6	1335.5	1255.6	0.0	0.0
63	1.521	-0.723	697.93		-1.2	3.5	-0.1		5.07	-1.72		1386.8	1336.8	1256.2	0.0	0.0
64	1.645	-0.817	699.77		-0.9	3.4	-0.2		4.92	-1.21		1384.4	1334.9	1256.8	0.0	0.0
65	1.740	-0.660	700.05		-1.1	3.5	-0.1		5.02	-1.61		1383.1	1336.8	1260.5	0.0	0.0
