

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	2.638	0.633	426.07		6.4	-1.0	-0.1		-2.12	15.07		828.9	805.7	750.8	0.0	0.0
2	2.544	0.821	425.37		6.2	-1.0	-0.0		-2.13	14.63		834.4	810.6	755.1	0.0	0.0
3	2.387	1.072	425.58		6.1	-1.0	-0.1		-2.23	14.19		824.0	803.9	751.4	0.0	0.0
4	2.199	1.230	425.09		5.9	-1.2	-0.1		-2.57	13.87		819.8	798.4	747.1	0.0	0.0
5	1.948	1.041	423.11		5.9	-1.2	-0.1		-2.71	13.77		821.0	798.4	744.1	0.0	0.0
6	1.916	0.538	424.17		6.0	-1.2	-0.2		-2.68	14.19		817.9	794.1	740.4	0.0	0.0
7	2.229	0.538	424.52		6.2	-1.3	-0.2		-2.80	14.68		822.2	796.6	745.9	0.0	0.0
8	2.543	0.695	425.37		6.3	-1.0	-0.2		-2.25	14.82		820.4	794.1	741.0	0.0	0.0
9	2.480	0.695	426.14		6.2	-1.0	-0.1		-2.10	14.56		823.4	794.1	735.5	0.0	0.0
10	2.292	0.978	425.58		6.2	-1.0	-0.1		-2.06	14.47		830.7	802.7	744.7	0.0	0.0
11	2.199	1.041	425.30		6.0	-1.1	-0.1		-2.30	13.93		824.6	800.2	742.8	0.0	0.0
12	2.074	0.978	424.52		6.0	-1.0	-0.1		-2.29	14.10		827.1	800.2	744.1	0.0	0.0
13	2.262	0.915	423.81		6.2	-1.2	-0.1		-2.74	14.58		832.0	805.1	747.7	0.0	0.0
14	2.481	0.507	424.16		6.5	-1.2	-0.1		-2.75	15.29		829.5	804.5	746.5	0.0	0.0
15	2.826	0.318	424.37		6.7	-1.2	-0.1		-2.58	15.71		835.0	810.0	753.8	0.0	0.0
16	3.328	0.444	424.80		6.6	-1.1	0.0		-2.31	15.50		834.4	808.8	750.8	0.0	0.0
17	3.077	0.538	425.01		6.5	-1.1	0.1		-2.35	15.16		835.6	807.5	748.9	0.0	0.0
18	2.827	0.852	424.94		6.2	-1.1	0.0		-2.46	14.64		841.7	815.5	756.9	0.0	0.0
19	2.733	0.853	424.45		6.0	-1.2	-0.0		-2.62	14.15		834.4	810.0	753.8	0.0	0.0
20	2.545	0.790	423.39		6.1	-1.3	-0.0		-2.78	14.33		831.3	808.2	753.2	0.0	0.0
21	2.576	0.821	422.62		6.1	-1.4	-0.1		-3.11	14.31		833.8	808.8	755.1	0.0	0.0
22	2.543	0.507	423.81		6.4	-1.4	-0.2		-3.19	15.16		827.7	805.1	750.8	0.0	0.0
23	2.824	0.350	424.24		6.6	-1.4	-0.2		-2.99	15.52		828.3	805.1	753.8	0.0	0.0
24	2.982	0.507	424.52		6.5	-1.3	-0.1		-2.74	15.23		826.5	802.1	748.9	0.0	0.0
25	2.700	0.695	425.22		6.4	-1.3	-0.1		-2.76	15.10		826.5	801.4	742.8	0.0	0.0
26	2.418	0.884	424.38		6.2	-1.3	-0.1		-2.96	14.56		830.1	807.5	750.2	0.0	0.0
