

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	2.049	0.508	540.37		-0.7	-1.5	0.1		-2.73	-1.40		794.1	11.6	-9.2	0.0	0.0
2	2.143	0.697	539.60		-0.8	-1.6	0.1		-2.75	-1.59		-206.9	10.4	-10.4	0.0	0.0
3	2.112	0.540	540.79		-0.7	-1.5	0.1		-2.64	-1.26		522.5	11.6	-10.4	0.0	0.0
4	2.300	0.414	540.30		-0.6	-1.6	0.1		-2.83	-1.21		1236.0	12.8	-9.8	0.0	0.0
5	2.269	0.508	539.95		-0.8	-1.5	0.1		-2.58	-1.47		1866.0	11.6	-10.4	0.0	0.0
6	2.238	0.602	540.58		-0.7	-1.6	0.1		-2.79	-1.37		2392.1	11.6	-9.8	0.0	0.0
7	2.206	0.571	539.59		-0.8	-1.6	0.1		-2.89	-1.44		2831.6	12.2	-9.8	0.0	0.0
8	2.238	0.602	541.15		-0.6	-1.6	0.1		-2.79	-1.23		3202.1	12.8	-10.4	0.0	0.0
9	2.363	0.665	539.81		-0.8	-1.6	0.1		-2.81	-1.48		3515.2	12.8	-9.8	0.0	0.0
10	2.143	0.634	540.86		-0.6	-1.5	0.1		-2.66	-1.16		3772.2	11.6	-9.8	0.0	0.0
11	2.143	0.728	540.86		-0.6	-1.5	0.1		-2.66	-1.09		3991.3	12.2	-9.8	0.0	0.0
12	2.237	0.665	539.52		-0.8	-1.5	0.0		-2.73	-1.48		4139.0	12.8	-8.5	0.0	0.0
13	2.112	0.885	541.43		-0.3	-1.5	0.1		-2.61	-0.67		4620.6	12.8	-10.4	0.0	0.0
14	2.237	0.697	539.74		-0.9	-1.6	0.1		-2.79	-1.66		785.0	12.2	-10.4	0.0	0.0
15	2.237	0.759	540.51		-0.5	-1.5	0.1		-2.68	-1.06		-206.9	11.0	-10.4	0.0	0.0
16	2.300	0.791	540.09		-0.7	-1.6	0.1		-2.90	-1.34		301.5	11.0	-10.4	0.0	0.0
17	2.268	0.759	540.02		-0.6	-1.7	0.1		-2.93	-1.24		999.2	11.6	-9.2	0.0	0.0
18	2.395	0.979	540.72		-0.4	-1.5	0.2		-2.60	-0.82		1679.2	11.6	-11.0	0.0	0.0
19	2.237	0.885	540.30		-0.6	-1.5	0.1		-2.70	-1.24		2233.4	11.6	-11.0	0.0	0.0
20	2.049	0.917	540.51		-0.5	-1.5	0.0		-2.64	-0.99		2702.8	12.2	-9.8	0.0	0.0
21	2.174	0.917	540.02		-0.6	-1.5	0.0		-2.66	-1.10		3090.4	11.6	-11.0	0.0	0.0
22	2.112	0.822	540.72		-0.5	-1.4	0.1		-2.38	-0.95		3420.0	11.0	-9.8	0.0	0.0
23	2.237	0.885	540.51		-0.4	-1.6	0.1		-2.77	-0.85		3694.1	11.6	-9.8	0.0	0.0
24	2.206	0.854	539.66		-0.6	-1.5	0.1		-2.73	-1.20		3924.8	12.2	-9.8	0.0	0.0
25	2.175	0.979	540.16		-0.6	-1.6	0.1		-2.75	-1.25		4085.3	12.2	-9.8	0.0	0.0
26	2.393	1.042	539.80		-0.5	-1.7	0.1		-2.99	-1.00		4569.4	11.6	-10.4	0.0	0.0
27	2.425	0.885	540.51		-0.6	-1.5	0.1		-2.62	-1.13		804.5	11.0	-9.8	0.0	0.0
28	2.363	0.854	539.87		-0.4	-1.6	0.1		-2.78	-0.88		-181.9	11.6	-9.8	0.0	0.0
29	2.080	0.917	539.73		-0.7	-1.5	0.1		-2.62	-1.39		64.7	11.6	-10.4	0.0	0.0
30	2.112	0.917	540.65		-0.5	-1.4	0.1		-2.50	-1.06		733.7	11.0	-11.0	0.0	0.0
31	2.268	0.885	540.02		-0.5	-1.4	0.0		-2.52	-1.03		1470.4	11.6	-10.4	0.0	0.0
32	2.143	0.759	540.44		-0.4	-1.5	0.1		-2.66	-0.88		2056.4	11.0	-10.4	0.0	0.0
33	2.363	0.697	539.59		-0.7	-1.7	0.1		-2.97	-1.30		2555.1	12.8	-11.0	0.0	0.0
34	2.237	0.822	539.24		-0.7	-1.6	0.1		-2.82	-1.35		2966.5	11.6	-10.4	0.0	0.0
35	2.175	0.854	540.58		-0.3	-1.6	0.1		-2.88	-0.59		3315.0	11.6	-9.8	0.0	0.0
36	2.426	0.791	539.10		-0.6	-1.5	0.2		-2.72	-1.20		3609.8	12.2	-9.8	0.0	0.0
37	2.300	0.917	540.44		-0.3	-1.5	0.1		-2.65	-0.67		3851.6	12.2	-10.4	0.0	0.0
38	2.205	0.791	539.88		-0.8	-1.5	0.1		-2.66	-1.45		4058.5	12.2	-10.4	0.0	0.0
39	2.142	0.697	539.87		-0.5	-1.4	0.0		-2.52	-0.94		4193.4	12.8	-9.2	0.0	0.0
40	2.143	0.728	540.58		-0.3	-1.5	0.1		-2.57	-0.59		4671.3	12.8	-9.2	0.0	0.0
41	2.206	0.697	539.38		-0.6	-1.5	0.1		-2.59	-1.20		794.1	12.2	-9.8	0.0	0.0
42	2.300	0.822	539.45		-0.5	-1.5	0.1		-2.65	-0.95		-206.9	11.0	-11.0	0.0	0.0
43	2.300	0.728	539.45		-0.6	-1.7	0.1		-2.93	-1.23		531.6	11.6	-9.8	0.0	0.0
44	2.143	0.759	539.52		-0.4	-1.6	0.1		-2.87	-0.84		1244.0	12.2	-9.8	0.0	0.0
45	2.426	0.885	540.09		-0.4	-1.6	0.2		-2.89	-0.85		1873.9	12.2	-11.0	0.0	0.0
46	2.206	0.759	539.38		-0.6	-1.5	0.1		-2.64	-1.13		2398.8	12.2	-9.8	0.0	0.0
47	2.206	0.791	540.37		-0.3	-1.5	0.1		-2.63	-0.63		2837.1	11.6	-9.2	0.0	0.0
48	2.081	0.885	538.96		-0.7	-1.5	0.1		-2.65	-1.28		3206.4	12.2	-9.8	0.0	0.0
49	2.205	0.885	539.80		-0.5	-1.5	0.0		-2.73	-0.99		3518.3	12.8	-9.2	0.0	0.0
50	2.394	0.728	539.87		-0.4	-1.6	0.1		-2.74	-0.87		3775.3	12.2	-10.4	0.0	0.0
51	2.269	0.602	539.38		-0.6	-1.6	0.1		-2.77	-1.12		3993.8	12.2	-10.4	0.0	0.0
52	2.269	0.822	539.24		-0.5	-1.7	0.1		-2.95	-0.92		4141.5	12.8	-9.8	0.0	0.0
53	2.206	0.916	538.75		-0.6	-1.6	0.1		-2.85	-1.17		4622.5	12.2	-9.2	0.0	0.0
54	2.332	0.854	540.30		-0.4	-1.6	0.2		-2.83	-0.88		785.6	12.8	-9.8	0.0	0.0
55	2.551	0.822	539.31		-0.6	-1.5	0.1		-2.64	-1.10		-208.1	12.2	-9.2	0.0	0.0
56	2.237	0.791	540.16		-0.4	-1.6	0.1		-2.74	-0.88		308.2	12.2	-10.4	0.0	0.0
57	2.174	0.885	540.16		-0.5	-1.5	0.1		-2.70	-1.03		1007.1	12.8	-11.0	0.0	0.0
58	2.268	0.885	539.52		-0.6	-1.5	0.1		-2.72	-1.14		1685.9	11.6	-10.4	0.0	0.0
59	2.331	0.854	541.21		-0.2	-1.4	0.1		-2.48	-0.34		2238.9	12.2	-9.8	0.0	0.0
60	2.331	0.728	538.75		-0.7	-1.6	0.1		-2.84	-1.31		2707.1	12.2	-9.2	0.0	0.0
61	2.206	0.854	540.44		-0.6	-1.6	0.1		-2.84	-1.10		3094.7	11.0	-10.4	0.0	0.0
62	2.394	0.791	539.45		-0.8	-1.7	0.1		-3.01	-1.45		3423.7	12.2	-10.4	0.0	0.0
63	2.394	0.728	540.23		-0.4	-1.6	0.1		-2.76	-0.77		3695.9	11.6	-10.4	0.0	0.0
64	2.489	0.822	540.37		-0.4	-1.5	0.2		-2.61	-0.77		3926.6	12.2	-9.2	0.0	0.0
65	2.331	0.822	539.17		-0.6	-1.6	0.1		-2.88	-1.24		4087.8	13.4	-9.8	0.0	0.0
66	2.237	0.917	540.86		-0.5	-1.5	0.1		-2.65	-1.03		4573.0	11.0	-11.0	0.0	0.0
67	2.268	0.854	540.23		-0.7	-1.5	0.0		-2.63	-1.28		789.2	11.6	-9.8	0.0	0.0
68	2.268	0.728	540.44		-0.4	-1.5	0.0		-2.70	-0.87		-187.4	12.2	-9.2	0.0	0.0
69	2.394	0.728	540.23		-0.4	-1.6	0.1		-2.80	-0.84		72.0	11.6	-10.4	0.0	0.0
70	2.331	0.634	538.89		-0.9	-1.5	0.1		-2.65	-1.66		743.5	11.6	-9.8	0.0	0.0
71	2.425	0.822	539.95		-0.5	-1.6	0.1		-2.85	-0.99		1479.0	12.2	-9.8	0.0	0.0
72	2.331	0.822	539.38		-0.6	-1.6	0.1		-2.86	-1.13		2061.9	11.6	-10.4	0.0	0.0
73	2.489	0.822	540.02		-0.6	-1.5	0.1		-2.69	-1.17		2558.7	12.2	-9.8	0.0	0.0
74	2.519	0.885	539.80		-0.4	-1.6	0.1		-2.84	-0.85		2970.2	11.6	-10.4	0.0	0.0
75	2.300	0.697	539.95		-0.6	-1.4	0.1		-2.49	-1.19		3318.7	11.6	-11.0	0.0	0.0
76	2.300	0.822	540.16		-0.4	-1.5	0.0		-2.65	-0.81		3611.7	12.2	-8.5	0.0	0.0
77	2.205	0.948	539.95		-0.7	-1.5	0.0		-2.68	-1.35		3854.0	12.8	-9.8	0.0	0.0
78	2.206	0.854	540.86		-0.5	-1.5	0.1		-2.65	-1.02		4061.5	12.8	-9.8	0.0	0.0
79	2.488	0.728	539.59		-0.6	-1.6	0.1		-2.87	-1.09		4193.4	11.6	-9.8	0.0	0.0
80	2.394	0.634	539.52		-0.7	-1.6	0.1		-2.76	-1.26		4673.1	12.2	-9.8	0.0	0.0
81	2.425	0.822	540.16		-0.4	-1.7	0.1		-2.96	-0.88		794.7	12.2	-9.8	0.0	0.0
82	2.426	0.917	539.45		-0.8	-1.6	0.1		-2.83	-1.46		-207.5	11.0	-10.4	0.0	0.0
83	2.331	0.854	540.51		-0.5	-1.5	0.1		-2.62	-0.92		542.0	11.6	-10.4	0.0	0.0
84	2.456	0.791	539.52		-0.6	-1.6	0.0		-2.76	-1.13		1253.7	12.2	-9.8	0.0	0.0
85	2.143	0.885	539.95		-0.6	-1.4	0.0		-2.50	-1.13		1881.8	11.6	-9.8	0.0	0.0
86	2.394	0.917	540.16		-0.6	-1.5	0.0		-2.64	-1.17		2406.8	12.8	-10.4	0.0	0.0
87	2.394	0.759	540.09		-0.5	-1.4	0.1		-2.48	-0.98		2843.2	11.0	-9.8	0.0	0.0
88	2.331	0.665	540.79		-0.4	-1.5	0.0		-2.67	-0.76		3212.5	12.2	-10.4	0.0	0.0
89	2.362	0.728	539.17		-0.8	-1.6	0.1		-2.83	-1.45		3523.2	12.8	-9.8	0.0	0.0
90	2.300	0.885	540.02		-0.6	-1.6	0.1		-2.74	-1.24		3779.5	11.6	-9.8	0.0	0.0
91	2.613	0.759	540.51		-0.5	-1.6	0.1		-2.88	-1.06		3996.8	12.2	-9.8	0.0	0.0
92	2.550	0.665	539.24		-0.6	-1.4	0.1		-2.48	-1.19		4141.5	12.2	-9.8	0.0	0.0
93	2.237	0.728	540.51		-0.4	-1.5	0.1		-2.58	-0.84		4624.9	12.2	-10.4	0.0	0.0
94	2.080	0.697	539.53		-0.8	-1.4	0.0		-2.55	-1.56		785.6	11.6	-9.2	0.0	0.0
95	2.299	0.728	540.72		-0.5	-1.4	0.0		-2.46	-1.02		-208.1	11.0	-9.2	0.0	0.0
96	2.425	0.634	540.94		-0.5	-1.4	0.0		-2.43	-1.05		318.6	11.6	-9.8	0.0	0.0
97	2.300	0.414	539.67		-0.7	-1.5	0.1		-2.63	-1.39		1016.9	12.2	-9.2	0.0	0.0
98	2.425	0.571	540.30		-0.5	-1.5	0.1		-2.69	-1.01		1693.8	11.0	-9.8	0.0	0.0
99	2.300	0.414	539.53		-0.8	-1.5	0.1		-2.63	-1.54		2246.8	11.6	-10.4	0.0	0.0
100	2.237	0.540	540.65		-0.5	-1.5	0.0		-2.72	-0.90		2711.3	12.2	-9.8	0.0	0.0
101	2.394	0.602	539.95		-0.7	-1.5	0.1		-2.67	-1.41		3098.9	11.6	-10.4	0.0	0.0
102	2.331	0.414	540.44		-0.8	-1.4	0.1		-2.51	-1.50		3427.9	12.2	-9.8	0.0	0.0
103	2.394	0.571	540.16		-0.8	-1.5	0.0		-2.55	-1.51		3700.2	11.0	-8.5	0.0	0.0
104	2.174	0.383	540.30		-0.9	-1.4	0.0		-2.47	-1.64		3930.3	12.2	-9.8	0.0	0.0
105	2.299	0.382	541.43		-0.6	-1.3	0.0		-2.33	-1.07		4090.2	12.2	-9.8	0.0	0.0
106	2.268	0.382	540.37		-0.8	-1.4	0.1		-2.54	-1.54		4575.5	11.6	-10.4	0.0	0.0
107	2.206	0.288	541.08		-0.8	-1.5	0.1		-2.58	-1.46		785.6	12.2	-9.8	0.0	0.0
108	2.519	0.320	539.95		-0.9	-1.6	0.1		-2.84	-1.61		-188.6	11.6	-9.8	0.0	0.0
109	2.300	0.383	540.44		-0.8	-1.4	0.1		-2.51	-1.43		80.0	11.0	-9.8	0.0	0.0
110	2.520	0.414	540.94		-0.7	-1.5	0.1		-2.57	-1.39		752.6	11.6	-8.5	0.0	0.0
111	2.394	0.351	539.88		-0.9	-1.5	0.1		-2.56	-1.64		1486.3	11.0	-11.0	0.0	0.0
112	2.174	0.194	541.50		-0.8	-1.3	0.0		-2.31	-1.52		2069.2	11.6	-10.4	0.0	0.0
113	2.205	0.257	540.09		-1.1	-1.5	-0.0		-2.59	-1.96		2564.9	12.2	-9.2	0.0	0.0
114	2.237	0.320	541.08		-0.9	-1.4	-0.0		-2.40	-1.60		2975.0	12.2	-10.4	0.0	0.0
115	2.363	0.131	542.07		-0.6	-1.3	0.1		-2.25	-1.09		3324.2	12.2	-10.4	0.0	0.0
116	2.237	0.100	540.16		-1.0	-1.4	0.1		-2.52	-1.84		3614.1	12.2	-9.8	0.0	0.0
117	2.143	0.225	541.29		-0.8	-1.4	0.0		-2.52	-1.49		3856.4	12.2	-9.8	0.0	0.0
118	2.237	0.163	539.95		-1.1	-1.5	-0.0		-2.63	-2.10		4064.0	12.8	-9.2	0.0	0.0
119	2.269	0.194	541.36		-0.8	-1.4	0.1		-2.49	-1.52		4195.8	11.6	-9.8	0.0	0.0
120	2.363	0.100	541.01		-1.0	-1.5	0.1		-2.55	-1.77		4675.0	11.6	-10.4	0.0	0.0
121	2.206	-0.057	540.16		-1.0	-1.4	0.0		-2.38	-1.76		794.7	12.2	-9.8	0.0	0.0
122	1.987	0.194	541.29		-0.9	-1.4	0.0		-2.39	-1.63		-206.3	12.2	-10.4	0.0	0.0
123	2.080	0.100	540.31		-1.2	-1.4	-0.0		-2.48	-2.20		551.2	11.6	-9.8	0.0	0.0
124	2.174	0.037	541.71		-0.8	-1.3	-0.0		-2.24	-1.41		1262.3	11.0	-9.8	0.0	0.0
125	2.268	-0.152	540.52		-1.1	-1.5	-0.0		-2.58	-2.08		1890.4	11.0	-9.8	0.0	0.0
126	2.206	-0.152	540.09		-1.1	-1.4	0.0		-2.41	-2.08		2414.1	11.6	-9.2	0.0	0.0
