

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	1.431	-0.558	524.92		-15.7	2.8	0.1		5.41	-29.94		5114.4	35.4	54.9	0.0	0.0
2	1.274	-0.495	525.05		-15.4	2.8	-0.0		5.35	-29.34		5116.3	36.0	52.5	0.0	0.0
3	1.022	-0.244	526.89		-15.6	3.0	-0.1		5.69	-29.62		5113.8	35.4	52.5	0.0	0.0
4	0.677	-0.181	524.84		-15.9	2.7	-0.1		5.20	-30.22		5116.9	35.4	50.7	0.0	0.0
5	0.865	-0.401	526.53		-15.4	2.9	-0.0		5.52	-29.15		5115.7	36.0	51.9	0.0	0.0
6	0.803	-0.244	524.35		-15.7	2.8	-0.1		5.47	-29.84		5114.4	35.4	57.4	0.0	0.0
7	1.210	0.102	526.04		-15.3	2.8	-0.1		5.38	-29.17		5116.9	36.0	54.3	0.0	0.0
8	0.927	0.259	525.41		-15.7	2.8	-0.2		5.35	-29.92		5115.1	36.0	52.5	0.0	0.0
9	1.303	-0.150	524.84		-15.3	2.6	-0.2		5.05	-29.19		5119.3	36.0	55.5	0.0	0.0
10	1.273	-0.244	525.97		-15.6	2.8	-0.0		5.36	-29.64		5118.7	36.0	54.3	0.0	0.0
11	1.022	-0.527	525.69		-15.2	2.8	-0.0		5.31	-28.97		5116.3	34.8	55.5	0.0	0.0
12	1.022	-0.244	526.96		-15.4	3.0	-0.0		5.76	-29.29		5120.6	36.0	53.1	0.0	0.0
13	0.771	-0.212	524.77		-15.8	2.8	-0.1		5.32	-30.04		5118.1	36.0	49.4	0.0	0.0
14	1.054	-0.275	525.69		-15.5	2.7	-0.0		5.21	-29.50		5117.5	35.4	54.3	0.0	0.0
15	0.960	-0.370	524.56		-15.9	2.7	0.0		5.12	-30.23		5118.7	35.4	54.9	0.0	0.0
16	1.085	-0.338	525.90		-15.3	2.8	0.1		5.33	-29.08		5115.7	36.0	53.7	0.0	0.0
17	0.898	0.070	524.63		-15.8	2.7	0.1		5.24	-30.06		5117.5	35.4	53.1	0.0	0.0
18	0.991	-0.244	525.90		-15.5	2.6	-0.1		5.00	-29.46		5116.9	35.4	53.1	0.0	0.0
19	1.054	-0.118	526.33		-15.9	2.6	-0.0		4.99	-30.18		5112.6	35.4	54.9	0.0	0.0
20	1.085	-0.212	524.56		-15.6	2.6	-0.1		4.95	-29.72		5116.3	36.0	53.1	0.0	0.0
21	1.085	-0.024	526.11		-15.3	2.9	-0.1		5.49	-29.13		5115.7	36.6	50.7	0.0	0.0
22	0.959	-0.087	523.43		-15.4	2.7	-0.1		5.23	-29.49		5114.4	36.0	53.1	0.0	0.0
23	1.462	-0.150	525.83		-15.3	2.9	0.1		5.61	-29.13		5115.7	36.0	52.5	0.0	0.0
24	1.338	-0.212	523.43		-15.7	2.9	0.1		5.54	-29.93		5113.2	35.4	52.5	0.0	0.0
25	1.462	-0.338	524.55		-15.1	2.9	0.1		5.63	-28.82		5116.9	35.4	51.9	0.0	0.0
26	0.740	-0.150	524.77		-15.7	3.0	-0.0		5.79	-29.82		5116.3	36.0	51.3	0.0	0.0
27	0.739	-0.307	524.27		-15.5	2.9	-0.2		5.54	-29.50		5115.7	35.4	55.5	0.0	0.0
28	0.834	-0.150	525.27		-15.9	2.8	-0.1		5.44	-30.27		5118.7	36.0	52.5	0.0	0.0
29	0.865	-0.244	524.28		-15.7	2.7	-0.1		5.26	-29.88		5115.7	35.4	53.7	0.0	0.0
30	0.834	0.196	525.20		-15.7	2.9	-0.1		5.65	-29.82		5119.9	35.4	54.9	0.0	0.0
31	0.489	0.290	523.99		-15.6	2.8	-0.2		5.43	-29.71		5119.9	36.0	53.1	0.0	0.0
32	1.147	0.165	525.54		-15.2	2.9	-0.1		5.60	-28.95		5115.1	34.8	58.6	0.0	0.0
33	1.178	0.007	523.78		-15.7	2.9	-0.1		5.55	-30.03		5119.9	35.4	52.5	0.0	0.0
34	1.179	-0.370	526.18		-15.0	2.9	0.0		5.66	-28.47		5118.1	36.0	50.7	0.0	0.0
35	0.867	-0.024	524.27		-15.2	3.2	0.0		6.07	-29.08		5117.5	35.4	55.5	0.0	0.0
36	1.022	-0.244	524.06		-15.2	2.9	-0.0		5.54	-29.04		5118.7	36.0	53.7	0.0	0.0
37	0.929	-0.150	524.07		-15.7	2.7	0.0		5.29	-29.93		5115.1	34.8	53.1	0.0	0.0
38	0.866	-0.275	522.58		-15.8	2.7	0.0		5.23	-30.19		5118.1	35.4	52.5	0.0	0.0
39	0.835	-0.181	524.35		-15.7	2.9	0.1		5.62	-29.84		5117.5	35.4	50.7	0.0	0.0
40	0.647	0.102	522.79		-15.7	2.8	-0.0		5.43	-30.02		5112.6	34.8	55.5	0.0	0.0
41	0.929	0.070	525.05		-15.6	2.8	0.0		5.42	-29.67		5115.7	35.4	52.5	0.0	0.0
42	0.584	-0.024	523.86		-15.9	2.7	-0.0		5.16	-30.29		5113.8	35.4	49.4	0.0	0.0
43	0.960	-0.118	524.34		-15.1	2.7	-0.0		5.20	-28.88		5116.9	35.4	51.9	0.0	0.0
44	0.929	0.196	524.20		-15.5	2.9	-0.0		5.58	-29.65		5116.9	36.0	51.3	0.0	0.0
45	0.959	0.039	523.35		-15.2	2.7	-0.1		5.26	-29.09		5112.6	35.4	54.3	0.0	0.0
46	1.242	0.133	524.21		-15.7	2.9	-0.0		5.64	-29.87		5116.9	36.0	54.3	0.0	0.0
47	1.180	-0.150	523.08		-15.6	2.8	0.0		5.46	-29.84		5116.3	36.6	53.1	0.0	0.0
48	1.462	-0.055	524.27		-15.3	3.2	0.1		6.10	-29.22		5115.7	36.0	57.4	0.0	0.0
49	0.804	0.070	523.00		-15.5	3.1	-0.0		5.94	-29.60		5118.7	36.0	55.5	0.0	0.0
50	0.646	0.007	524.90		-15.2	3.1	-0.1		5.98	-28.93		5115.7	35.4	53.1	0.0	0.0
51	0.646	0.165	522.79		-15.9	2.9	-0.1		5.62	-30.39		5119.9	35.4	54.9	0.0	0.0
52	1.117	-0.244	523.42		-15.2	2.9	-0.0		5.62	-29.11		5119.9	36.6	53.1	0.0	0.0
53	0.772	-0.024	523.08		-15.7	3.0	-0.0		5.86	-30.00		5116.3	34.8	54.9	0.0	0.0
54	0.865	0.196	523.28		-15.3	2.9	-0.2		5.65	-29.29		5119.3	36.0	53.7	0.0	0.0
55	0.928	0.322	525.05		-15.5	3.0	-0.2		5.71	-29.54		5116.3	36.0	50.7	0.0	0.0
56	1.084	-0.055	522.79		-15.5	2.8	-0.1		5.51	-29.71		5116.9	35.4	54.9	0.0	0.0
57	1.273	-0.181	525.61		-15.1	3.1	-0.0		5.96	-28.66		5118.1	36.0	53.7	0.0	0.0
58	0.679	0.007	523.64		-15.3	3.1	0.0		6.04	-29.30		5114.4	35.4	53.1	0.0	0.0
59	0.897	0.039	524.55		-15.1	3.1	-0.0		5.88	-28.84		5116.9	36.0	52.5	0.0	0.0
60	0.804	-0.024	523.08		-15.7	2.9	0.0		5.63	-30.00		5116.3	36.0	51.9	0.0	0.0
61	1.117	-0.244	523.14		-15.3	2.7	0.0		5.29	-29.27		5112.0	34.8	56.2	0.0	0.0
62	1.117	0.133	523.43		-15.8	3.0	0.0		5.85	-30.17		5115.7	36.0	53.1	0.0	0.0
63	0.991	0.102	522.93		-15.5	2.8	-0.0		5.50	-29.57		5114.4	35.4	51.3	0.0	0.0
64	0.929	0.227	523.99		-15.7	2.9	-0.0		5.55	-30.00		5116.3	35.4	54.3	0.0	0.0
65	0.772	0.008	523.15		-15.8	2.6	-0.1		5.03	-30.26		5116.3	36.0	52.5	0.0	0.0
66	1.117	0.008	524.20		-15.2	2.9	-0.1		5.59	-29.04		5112.6	34.8	54.9	0.0	0.0
