

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	1.661	0.373	620.38		-3.7	-1.1	-0.2		-1.62	-5.96		1781.1	12.2	-9.8	0.0	0.0
2	1.818	0.121	621.16		-3.4	-1.2	-0.1		-1.79	-5.54		2316.4	12.8	-9.8	0.0	0.0
3	1.662	0.247	620.38		-3.6	-1.0	-0.1		-1.54	-5.83		2764.5	12.2	-10.4	0.0	0.0
4	1.599	0.436	620.38		-3.5	-1.2	-0.2		-1.78	-5.65		3144.1	11.6	-9.8	0.0	0.0
5	1.661	0.404	620.80		-3.6	-1.1	-0.2		-1.66	-5.83		3463.3	12.2	-9.8	0.0	0.0
6	1.692	0.216	620.52		-3.7	-1.2	-0.2		-1.77	-6.01		3728.9	12.8	-9.2	0.0	0.0
7	1.817	0.121	621.79		-3.3	-1.2	-0.2		-1.76	-5.37		3949.8	12.8	-10.4	0.0	0.0
8	1.881	0.247	620.87		-3.4	-1.0	-0.1		-1.58	-5.48		4098.8	12.2	-9.2	0.0	0.0
9	1.818	0.310	620.66		-3.5	-1.2	-0.1		-1.77	-5.71		4588.3	12.8	-9.8	0.0	0.0
10	1.849	0.341	621.51		-3.3	-1.2	-0.1		-1.80	-5.39		786.2	12.2	-9.8	0.0	0.0
11	1.693	0.184	620.10		-3.6	-1.2	-0.1		-1.85	-5.83		-198.4	12.2	-9.8	0.0	0.0
12	1.881	0.121	620.73		-3.4	-1.2	-0.1		-1.90	-5.54		185.6	11.0	-10.4	0.0	0.0
13	1.944	0.341	620.66		-3.6	-1.2	-0.1		-1.88	-5.83		872.9	12.2	-11.0	0.0	0.0
14	1.693	0.435	620.45		-3.7	-1.4	-0.1		-2.11	-6.00		1581.5	12.8	-10.4	0.0	0.0
15	1.756	0.404	621.02		-3.5	-1.3	-0.1		-1.95	-5.68		2148.0	12.8	-10.4	0.0	0.0
16	1.725	0.404	620.31		-3.7	-1.2	-0.1		-1.87	-6.00		2622.2	12.2	-11.6	0.0	0.0
17	1.913	0.341	620.80		-3.5	-1.4	-0.1		-2.16	-5.58		3026.9	12.8	-9.8	0.0	0.0
18	1.912	0.436	621.79		-3.5	-1.2	-0.1		-1.84	-5.58		3365.1	12.8	-9.8	0.0	0.0
19	1.724	0.373	620.73		-3.6	-1.3	-0.1		-1.99	-5.87		3645.9	12.2	-9.8	0.0	0.0
20	1.881	0.341	622.00		-3.4	-1.3	-0.1		-2.02	-5.54		3880.2	12.2	-11.0	0.0	0.0
21	1.944	0.373	620.52		-3.6	-1.1	-0.1		-1.68	-5.77		4079.2	12.8	-10.4	0.0	0.0
22	1.975	0.341	621.02		-3.6	-1.2	-0.1		-1.86	-5.80		4211.1	12.2	-9.8	0.0	0.0
23	1.787	0.341	622.00		-3.4	-1.2	-0.1		-1.82	-5.48		4684.1	12.2	-10.4	0.0	0.0
24	1.411	0.341	621.02		-3.7	-1.2	-0.2		-1.81	-5.92		794.7	12.2	-10.4	0.0	0.0
25	1.724	0.436	621.93		-3.5	-1.2	-0.2		-1.77	-5.58		-194.7	11.6	-9.8	0.0	0.0
26	1.787	0.436	621.37		-3.8	-1.1	-0.1		-1.69	-6.14		656.8	12.2	-10.4	0.0	0.0
27	1.693	0.404	621.37		-3.7	-1.3	-0.2		-1.93	-5.96		1371.5	12.8	-10.4	0.0	0.0
28	1.567	0.530	622.43		-3.4	-1.1	-0.2		-1.76	-5.55		1972.2	12.8	-9.8	0.0	0.0
29	1.536	0.593	621.16		-3.6	-1.1	-0.2		-1.76	-5.87		2477.0	11.6	-10.4	0.0	0.0
30	1.849	0.436	621.58		-3.6	-1.3	-0.2		-1.94	-5.80		2906.7	12.2	-10.4	0.0	0.0
31	1.975	0.373	622.43		-3.5	-1.1	-0.1		-1.70	-5.66		3261.9	12.8	-9.8	0.0	0.0
32	1.786	0.216	621.94		-3.6	-1.1	-0.2		-1.73	-5.88		3559.8	12.8	-10.4	0.0	0.0
33	1.818	0.341	622.43		-3.4	-1.1	-0.1		-1.74	-5.47		3806.4	11.6	-11.0	0.0	0.0
34	1.849	0.435	620.81		-3.7	-1.2	-0.1		-1.88	-6.02		4021.2	13.4	-10.4	0.0	0.0
35	1.912	0.216	622.00		-3.6	-1.3	-0.1		-2.02	-5.78		4160.4	13.4	-9.8	0.0	0.0
