

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	2.551	0.289	795.86		-23.5	-2.8	-0.1		-3.37	-29.55		5217.6	36.6	56.8	0.0	0.0
2	2.834	0.352	796.64		-23.8	-2.6	-0.0		-3.16	-29.94		5218.2	37.2	56.8	0.0	0.0
3	2.583	0.415	795.30		-23.7	-2.6	-0.1		-3.15	-29.77		5217.6	36.6	58.6	0.0	0.0
4	2.206	0.634	797.56		-23.8	-2.5	-0.2		-3.01	-29.89		5215.8	36.0	54.3	0.0	0.0
5	2.112	0.634	795.30		-23.9	-2.6	-0.1		-3.17	-30.02		5217.0	35.4	46.4	0.0	0.0
6	2.268	0.949	797.20		-23.4	-2.5	-0.2		-2.99	-29.40		5215.8	36.0	50.7	0.0	0.0
7	2.299	0.792	795.51		-23.7	-2.7	-0.2		-3.27	-29.85		5215.8	35.4	52.5	0.0	0.0
8	2.489	0.666	798.33		-23.0	-2.3	0.0		-2.82	-28.82		5215.8	36.0	56.8	0.0	0.0
9	2.145	0.634	795.37		-23.8	-2.6	-0.0		-3.13	-29.90		5215.8	36.6	50.1	0.0	0.0
10	2.552	0.540	796.35		-23.3	-2.6	0.0		-3.14	-29.22		5216.4	36.0	47.0	0.0	0.0
11	2.552	1.106	796.07		-23.8	-2.5	0.0		-3.04	-29.99		5216.4	36.0	54.3	0.0	0.0
12	2.489	0.792	796.99		-23.5	-2.8	-0.1		-3.43	-29.48		5217.0	36.6	54.3	0.0	0.0
13	2.332	0.666	796.56		-23.5	-2.5	-0.0		-3.10	-29.49		5217.0	36.0	58.0	0.0	0.0
14	2.928	0.792	795.86		-23.4	-2.6	-0.0		-3.14	-29.37		5217.0	36.0	58.6	0.0	0.0
15	2.960	0.854	796.07		-23.5	-2.5	0.1		-3.00	-29.59		5217.0	36.0	54.3	0.0	0.0
16	2.363	0.792	795.79		-23.4	-2.5	-0.1		-2.99	-29.45		5217.0	36.0	60.4	0.0	0.0
17	2.207	0.823	796.99		-23.5	-2.4	-0.1		-2.88	-29.58		5217.0	36.0	58.6	0.0	0.0
18	2.019	1.043	794.87		-23.5	-2.5	-0.1		-3.09	-29.61		5217.6	36.0	58.0	0.0	0.0
19	2.394	1.043	797.13		-23.2	-2.4	-0.2		-2.94	-29.09		5218.2	36.6	59.2	0.0	0.0
20	2.175	0.477	795.79		-23.3	-2.4	-0.1		-2.91	-29.34		5217.0	36.0	55.5	0.0	0.0
21	2.207	0.666	797.12		-23.0	-2.3	0.0		-2.79	-28.88		5217.0	36.0	56.2	0.0	0.0
22	2.051	0.791	794.80		-23.7	-2.5	0.0		-3.10	-29.87		5217.0	36.6	62.9	0.0	0.0
23	2.114	0.634	796.07		-23.1	-2.5	0.1		-3.06	-29.04		5216.4	36.0	58.0	0.0	0.0
24	1.863	0.823	795.51		-23.8	-2.6	0.1		-3.20	-29.90		5216.4	36.0	58.6	0.0	0.0
25	2.176	0.666	795.99		-22.9	-2.6	-0.0		-3.17	-28.83		5216.4	36.0	56.2	0.0	0.0
26	2.020	0.666	795.51		-23.5	-2.4	0.0		-2.97	-29.60		5215.8	36.0	54.9	0.0	0.0
27	2.428	0.477	795.08		-23.2	-2.5	0.1		-3.05	-29.17		5215.8	36.6	55.5	0.0	0.0
28	1.894	0.634	796.56		-23.4	-2.2	0.0		-2.68	-29.39		5215.8	36.0	54.3	0.0	0.0
29	1.768	0.572	795.36		-23.4	-2.5	-0.1		-3.02	-29.41		5216.4	36.0	56.8	0.0	0.0
30	1.769	0.854	796.56		-23.4	-2.4	-0.0		-2.90	-29.35		5215.8	36.6	53.7	0.0	0.0
31	1.799	0.949	794.37		-23.3	-2.5	-0.2		-3.02	-29.36		5216.4	36.0	54.3	0.0	0.0
32	2.113	0.634	796.42		-23.1	-2.3	-0.0		-2.77	-29.00		5217.0	35.4	56.8	0.0	0.0
33	1.738	0.477	794.73		-23.2	-2.3	0.1		-2.85	-29.16		5217.0	36.0	54.9	0.0	0.0
