

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	0.477	-0.121	540.20		-33.3	-10.9	-0.1		-20.17	-61.73		633.0	12.2	-9.8	0.0	0.0
2	0.227	-0.058	541.54		-33.3	-10.7	-0.1		-19.75	-61.40		1347.7	11.6	-9.8	0.0	0.0
3	0.446	-0.184	541.26		-33.3	-10.9	-0.2		-20.07	-61.42		1959.3	12.2	-9.8	0.0	0.0
4	0.477	-0.309	541.26		-33.1	-10.7	-0.2		-19.70	-61.20		2467.2	11.0	-10.4	0.0	0.0
5	0.508	-0.372	541.61		-33.1	-10.8	-0.1		-19.93	-61.05		2895.7	11.0	-10.4	0.0	0.0
6	0.477	-0.404	540.20		-33.3	-10.8	-0.1		-20.03	-61.71		3255.2	11.6	-9.8	0.0	0.0
7	0.415	-0.278	541.68		-33.3	-10.9	-0.1		-20.10	-61.37		3556.1	12.2	-10.4	0.0	0.0
8	0.540	-0.278	540.69		-33.3	-10.9	-0.1		-20.22	-61.55		3810.7	12.8	-9.2	0.0	0.0
9	0.540	-0.215	541.47		-33.4	-10.9	-0.1		-20.12	-61.65		4020.6	12.2	-9.2	0.0	0.0
10	0.634	-0.310	541.12		-33.3	-10.9	-0.1		-20.15	-61.43		4164.7	12.8	-8.5	0.0	0.0
11	0.509	-0.404	540.98		-33.5	-10.8	-0.1		-19.98	-61.94		4643.2	12.2	-9.8	0.0	0.0
12	0.383	-0.278	542.25		-33.3	-10.8	-0.2		-19.85	-61.31		788.0	12.2	-9.8	0.0	0.0
13	0.570	-0.404	540.98		-33.5	-10.9	-0.2		-20.07	-61.87		-209.4	11.0	-10.4	0.0	0.0
14	0.539	-0.467	542.60		-33.2	-10.8	-0.2		-19.81	-61.15		405.3	11.0	-9.8	0.0	0.0
15	0.665	-0.529	541.40		-33.4	-10.9	-0.1		-20.14	-61.75		1105.4	11.6	-9.2	0.0	0.0
16	0.665	-0.655	541.47		-33.5	-10.9	-0.1		-20.07	-61.77		1767.1	11.6	-9.8	0.0	0.0
17	0.665	-0.467	541.40		-33.4	-11.0	-0.1		-20.23	-61.68		2307.3	12.2	-10.4	0.0	0.0
18	0.508	-0.435	541.75		-33.4	-10.9	-0.2		-20.16	-61.68		2760.2	12.8	-9.8	0.0	0.0
19	0.760	-0.309	542.18		-33.4	-10.9	-0.1		-20.04	-61.64		3143.5	12.8	-9.8	0.0	0.0
20	0.697	-0.341	541.61		-33.5	-10.9	-0.1		-20.15	-61.84		3461.5	12.2	-10.4	0.0	0.0
21	0.539	-0.529	542.32		-33.6	-11.0	-0.2		-20.18	-61.97		3731.3	12.2	-9.2	0.0	0.0
22	0.539	-0.404	542.32		-33.5	-11.0	-0.2		-20.23	-61.83		3954.1	11.6	-9.8	0.0	0.0
23	0.633	-0.467	542.39		-33.6	-10.9	-0.2		-19.97	-62.00		4107.9	11.6	-10.4	0.0	0.0
24	0.727	-0.435	543.10		-33.2	-10.9	-0.2		-20.03	-61.13		4592.6	11.6	-10.4	0.0	0.0
25	0.539	-0.624	542.04		-33.7	-11.0	-0.2		-20.28	-62.14		778.9	11.0	-9.8	0.0	0.0
26	0.602	-0.498	542.68		-33.5	-11.0	-0.2		-20.23	-61.75		-199.0	11.0	-9.2	0.0	0.0
27	0.633	-0.435	542.18		-33.7	-11.0	-0.2		-20.32	-62.13		170.9	11.6	-9.2	0.0	0.0
28	0.571	-0.529	542.68		-33.5	-11.1	-0.2		-20.42	-61.75		855.2	12.2	-9.8	0.0	0.0
29	0.822	-0.404	542.82		-33.6	-11.0	-0.1		-20.26	-61.88		1567.5	11.6	-10.4	0.0	0.0
30	0.539	-0.529	542.04		-33.8	-11.0	-0.2		-20.24	-62.28		2140.6	11.6	-9.8	0.0	0.0
31	0.508	-0.310	543.45		-33.8	-11.0	-0.2		-20.14	-62.14		2619.2	11.6	-11.0	0.0	0.0
32	0.539	-0.341	542.33		-34.0	-10.9	-0.2		-20.14	-62.62		3025.7	11.6	-10.4	0.0	0.0
33	0.507	-0.467	543.95		-33.6	-10.9	-0.2		-20.01	-61.68		3361.4	11.6	-10.4	0.0	0.0
34	0.758	-0.624	543.17		-33.8	-11.0	-0.2		-20.23	-62.15		3646.5	12.2	-9.2	0.0	0.0
35	0.696	-0.624	542.68		-33.8	-11.0	-0.2		-20.23	-62.17		3884.5	11.6	-8.5	0.0	0.0
36	0.633	-0.435	543.67		-33.8	-11.2	-0.2		-20.61	-62.14		4080.4	11.6	-8.5	0.0	0.0
37	0.539	-0.435	542.47		-33.8	-11.0	-0.2		-20.27	-62.31		4255.0	12.8	-9.8	0.0	0.0
38	0.696	-0.467	544.09		-33.7	-11.1	-0.2		-20.31	-61.88		4227.6	11.6	-10.4	0.0	0.0
39	0.758	-0.467	542.68		-33.9	-11.1	-0.2		-20.36	-62.47		678.8	11.0	-9.2	0.0	0.0
40	0.539	-0.529	543.60		-33.9	-11.1	-0.2		-20.36	-62.25		-172.7	11.0	-9.2	0.0	0.0
41	0.601	-0.561	543.46		-34.0	-11.1	-0.2		-20.46	-62.48		639.1	11.6	-9.2	0.0	0.0
42	0.539	-0.498	543.53		-34.0	-11.0	-0.2		-20.25	-62.51		1355.7	12.2	-10.4	0.0	0.0
43	0.664	-0.498	544.09		-33.7	-10.9	-0.2		-20.04	-61.88		1965.5	12.2	-10.4	0.0	0.0
44	0.695	-0.592	543.11		-34.1	-11.1	-0.2		-20.35	-62.70		2472.7	11.0	-10.4	0.0	0.0
45	0.664	-0.592	544.09		-34.0	-11.1	-0.2		-20.32	-62.37		2901.8	12.8	-9.2	0.0	0.0
46	0.727	-0.498	542.90		-34.1	-11.2	-0.2		-20.61	-62.83		3258.9	12.2	-9.8	0.0	0.0
47	0.539	-0.624	544.09		-33.9	-11.1	-0.2		-20.41	-62.30		3560.4	12.2	-9.8	0.0	0.0
48	0.978	-0.655	543.32		-33.9	-11.2	-0.1		-20.58	-62.35		3814.3	12.8	-9.8	0.0	0.0
49	0.665	-0.687	543.04		-34.1	-11.1	-0.2		-20.38	-62.66		4023.1	12.2	-11.0	0.0	0.0
50	0.539	-0.687	543.95		-33.9	-11.1	-0.2		-20.42	-62.24		4166.5	12.2	-9.2	0.0	0.0
51	0.507	-0.655	543.04		-34.1	-11.1	-0.2		-20.34	-62.81		4645.1	12.8	-10.4	0.0	0.0
52	0.507	-0.687	543.74		-34.2	-11.1	-0.2		-20.32	-62.80		789.2	12.2	-9.8	0.0	0.0
53	0.727	-0.812	544.10		-33.9	-11.1	-0.2		-20.27	-62.29		-209.4	11.0	-10.4	0.0	0.0
54	0.695	-1.001	543.46		-34.2	-11.1	-0.2		-20.45	-62.81		413.2	11.6	-9.8	0.0	0.0
55	0.758	-0.812	543.60		-34.0	-11.2	-0.2		-20.53	-62.52		1115.8	11.6	-9.2	0.0	0.0
56	0.602	-0.844	542.62		-34.2	-11.1	-0.2		-20.49	-63.06		1775.6	11.6	-9.8	0.0	0.0
57	0.633	-0.875	543.95		-33.9	-11.2	-0.2		-20.60	-62.30		2314.0	11.6	-9.2	0.0	0.0
58	0.758	-0.875	542.90		-34.1	-11.1	-0.2		-20.42	-62.81		2766.3	11.6	-10.4	0.0	0.0
59	0.727	-0.969	543.46		-34.1	-11.2	-0.2		-20.54	-62.74		3148.4	12.2	-11.0	0.0	0.0
60	0.633	-0.906	543.67		-34.2	-11.2	-0.3		-20.56	-62.83		3465.8	12.2	-9.8	0.0	0.0
61	0.538	-1.032	542.97		-34.3	-11.1	-0.3		-20.46	-63.05		3735.6	11.6	-9.2	0.0	0.0
62	0.601	-0.969	544.17		-34.0	-11.0	-0.2		-20.20	-62.45		3955.9	11.6	-10.4	0.0	0.0
