

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	4.626	-4.605	1085.06		-55.8	20.3	0.4		18.85	-51.32		2332.9	2235.9	2112.6	0.0	0.0
2	4.626	-4.730	1084.84		-55.7	20.2	0.5		18.77	-51.16		2336.6	2238.9	2114.4	0.0	0.0
3	4.782	-4.762	1084.28		-55.7	20.3	0.5		18.90	-51.26		2343.3	2248.1	2122.9	0.0	0.0
4	4.844	-4.793	1084.63		-55.5	20.2	0.4		18.77	-51.04		2344.5	2251.7	2127.2	0.0	0.0
5	4.970	-4.950	1085.20		-55.9	20.2	0.4		18.72	-51.34		2337.2	2245.6	2122.3	0.0	0.0
6	5.032	-4.950	1086.33		-55.5	20.0	0.4		18.56	-50.93		2341.5	2243.2	2119.9	0.0	0.0
7	4.938	-4.919	1085.83		-55.3	20.3	0.4		18.85	-50.79		2344.5	2245.6	2122.3	0.0	0.0
8	4.907	-4.982	1086.39		-55.3	20.2	0.4		18.75	-50.72		2346.3	2246.8	2123.5	0.0	0.0
9	4.813	-5.076	1087.10		-55.1	20.3	0.4		18.80	-50.55		2352.4	2252.9	2127.8	0.0	0.0
10	4.938	-5.139	1087.24		-54.9	20.3	0.5		18.81	-50.36		2356.1	2259.0	2135.1	0.0	0.0
11	5.158	-5.233	1087.17		-54.9	20.4	0.5		18.92	-50.34		2359.2	2262.1	2137.0	0.0	0.0
12	5.314	-5.296	1087.67		-55.1	20.3	0.5		18.81	-50.51		2354.3	2259.7	2134.5	0.0	0.0
13	5.314	-5.107	1088.37		-55.0	20.2	0.4		18.75	-50.42		2348.8	2254.2	2130.9	0.0	0.0
14	5.501	-4.887	1088.65		-55.1	20.2	0.4		18.75	-50.48		2348.2	2253.6	2130.3	0.0	0.0
15	5.219	-4.762	1088.02		-55.1	20.2	0.3		18.72	-50.53		2345.1	2252.3	2128.4	0.0	0.0
16	5.094	-4.573	1088.02		-55.2	20.3	0.3		18.81	-50.64		2345.7	2252.3	2129.6	0.0	0.0
17	5.031	-4.479	1087.67		-55.3	20.3	0.3		18.80	-50.68		2343.9	2252.9	2132.7	0.0	0.0
18	4.938	-4.605	1086.68		-55.3	20.2	0.4		18.77	-50.79		2348.2	2254.8	2132.1	0.0	0.0
19	5.032	-4.636	1087.53		-55.4	20.3	0.4		18.80	-50.83		2342.1	2249.9	2127.2	0.0	0.0
20	5.188	-4.762	1088.58		-55.4	20.3	0.4		18.85	-50.72		2339.0	2243.2	2121.7	0.0	0.0
21	5.189	-4.793	1088.52		-55.6	20.2	0.5		18.74	-50.92		2340.8	2245.0	2121.7	0.0	0.0
22	5.000	-4.668	1088.73		-55.5	20.2	0.5		18.68	-50.86		2342.1	2246.8	2122.3	0.0	0.0
23	4.906	-4.636	1089.15		-55.7	20.2	0.4		18.69	-50.98		2346.3	2248.7	2123.5	0.0	0.0
24	4.937	-4.699	1089.09		-55.9	20.2	0.4		18.68	-51.14		2354.3	2254.8	2130.3	0.0	0.0
25	5.125	-4.762	1088.52		-55.5	20.1	0.4		18.63	-50.85		2360.4	2261.5	2134.5	0.0	0.0
26	5.219	-4.699	1089.09		-55.8	20.0	0.4		18.55	-51.11		2356.7	2260.9	2134.5	0.0	0.0
27	5.408	-4.636	1089.30		-55.6	20.1	0.5		18.59	-50.91		2355.5	2258.4	2133.3	0.0	0.0
28	5.597	-4.636	1089.37		-55.6	20.0	0.5		18.49	-50.92		2361.6	2262.1	2135.8	0.0	0.0
29	5.910	-4.668	1088.66		-55.5	19.9	0.5		18.47	-50.88		2363.4	2263.9	2137.0	0.0	0.0
30	5.722	-4.699	1089.02		-55.7	19.9	0.5		18.42	-51.02		2362.2	2265.2	2138.2	0.0	0.0
31	5.440	-4.793	1088.52		-55.6	19.9	0.5		18.43	-50.95		2364.0	2268.8	2144.9	0.0	0.0
32	5.314	-4.762	1088.52		-55.6	19.8	0.5		18.36	-50.96		2369.5	2271.9	2146.1	0.0	0.0
33	5.251	-4.825	1088.45		-55.7	19.8	0.5		18.33	-51.05		2362.8	2268.8	2144.9	0.0	0.0
34	5.439	-4.825	1089.58		-55.5	19.8	0.4		18.31	-50.82		2356.1	2261.5	2139.4	0.0	0.0
35	5.439	-4.856	1089.30		-55.5	19.8	0.5		18.30	-50.79		2354.3	2259.0	2135.8	0.0	0.0
36	5.439	-5.045	1089.51		-55.5	19.6	0.5		18.12	-50.76		2352.4	2259.7	2135.1	0.0	0.0
37	5.470	-5.171	1089.51		-55.6	19.6	0.5		18.12	-50.86		2347.6	2256.0	2133.9	0.0	0.0
38	5.532	-5.076	1089.59		-55.8	19.4	0.5		18.00	-51.09		2348.8	2254.8	2134.5	0.0	0.0
39	5.658	-4.951	1089.38		-55.8	19.3	0.5		17.93	-51.09		2354.3	2260.9	2135.8	0.0	0.0
40	5.595	-4.825	1089.66		-55.9	19.3	0.5		17.92	-51.19		2352.4	2258.4	2133.9	0.0	0.0
41	5.751	-4.825	1089.87		-55.8	19.4	0.5		18.00	-51.05		2351.2	2252.9	2129.0	0.0	0.0
42	5.876	-4.794	1090.08		-55.7	19.4	0.5		17.94	-50.92		2351.8	2254.2	2129.6	0.0	0.0
43	5.814	-4.857	1089.73		-55.6	19.4	0.5		17.94	-50.85		2356.1	2257.2	2131.5	0.0	0.0
44	5.908	-5.014	1089.94		-55.5	19.4	0.5		17.97	-50.81		2357.3	2259.7	2133.9	0.0	0.0
45	5.908	-4.951	1089.51		-55.5	19.4	0.5		18.00	-50.83		2360.4	2263.3	2138.8	0.0	0.0
46	6.095	-4.919	1089.79		-55.3	19.3	0.4		17.89	-50.64		2370.8	2270.0	2143.7	0.0	0.0
47	6.126	-4.794	1089.94		-55.5	19.3	0.4		17.89	-50.82		2368.9	2271.9	2143.7	0.0	0.0
48	6.220	-4.542	1091.42		-55.2	19.4	0.4		17.92	-50.42		2368.9	2270.6	2142.5	0.0	0.0
49	6.188	-4.574	1091.56		-55.0	19.3	0.3		17.90	-50.27		2372.6	2273.1	2145.5	0.0	0.0
