

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	0.834	0.220	554.01		-49.9	-22.3	-0.1		-40.13	-90.01		5214.6	35.4	58.6	0.0	0.0
2	0.739	0.126	554.99		-49.3	-22.2	-0.2		-40.02	-88.87		5215.8	35.4	56.8	0.0	0.0
3	0.174	0.188	554.78		-50.0	-22.1	-0.3		-39.87	-90.20		5214.6	34.8	51.9	0.0	0.0
4	0.330	-0.031	554.64		-49.7	-22.3	-0.3		-40.14	-89.65		5215.2	34.2	56.8	0.0	0.0
5	0.236	-0.000	554.93		-50.0	-22.2	-0.3		-40.08	-90.17		5213.9	34.8	52.5	0.0	0.0
6	0.392	-0.220	553.65		-49.8	-22.3	-0.3		-40.29	-90.01		5213.9	34.2	54.3	0.0	0.0
7	0.362	0.126	555.56		-49.9	-22.3	-0.3		-40.09	-89.83		5213.3	35.4	54.3	0.0	0.0
8	0.204	0.252	553.87		-49.9	-22.3	-0.4		-40.27	-90.18		5212.7	34.8	51.9	0.0	0.0
9	0.392	0.220	555.56		-49.9	-22.3	-0.4		-40.09	-89.83		5212.1	34.2	46.4	0.0	0.0
10	0.361	-0.126	553.94		-50.0	-22.4	-0.4		-40.41	-90.32		5211.5	35.4	43.3	0.0	0.0
11	0.550	-0.440	556.26		-49.4	-22.2	-0.2		-39.81	-88.78		5211.5	35.4	45.2	0.0	0.0
12	0.268	-0.409	554.86		-49.9	-22.1	-0.3		-39.84	-89.98		5211.5	34.8	51.3	0.0	0.0
13	0.425	-0.471	556.33		-49.3	-22.2	-0.2		-39.92	-88.59		5211.5	35.4	48.2	0.0	0.0
14	0.363	-0.440	554.36		-50.2	-22.3	-0.2		-40.16	-90.51		5212.1	34.8	51.3	0.0	0.0
15	0.739	-0.628	554.78		-49.8	-22.5	-0.2		-40.55	-89.74		5212.1	35.4	60.4	0.0	0.0
16	0.645	-0.409	554.37		-50.3	-22.4	-0.2		-40.41	-90.80		5212.1	35.4	57.4	0.0	0.0
17	0.676	-0.377	553.80		-50.0	-22.4	-0.2		-40.45	-90.19		5213.3	34.8	54.9	0.0	0.0
18	0.520	-0.220	554.79		-50.2	-22.4	-0.2		-40.34	-90.53		5213.3	35.4	52.5	0.0	0.0
19	0.487	-0.471	554.01		-50.3	-22.6	-0.3		-40.78	-90.75		5213.9	35.4	53.7	0.0	0.0
20	0.707	-0.440	555.78		-50.3	-22.5	-0.3		-40.52	-90.43		5215.2	34.8	58.6	0.0	0.0
21	0.550	-0.628	553.59		-50.2	-22.5	-0.3		-40.67	-90.59		5214.6	35.4	54.9	0.0	0.0
22	0.707	-0.534	555.77		-49.7	-22.3	-0.3		-40.08	-89.37		5215.2	34.8	55.5	0.0	0.0
23	0.550	-0.408	553.09		-50.3	-22.4	-0.3		-40.51	-90.86		5215.2	35.4	50.7	0.0	0.0
24	0.833	-0.565	554.93		-50.0	-22.2	-0.2		-40.04	-90.00		5215.2	36.0	50.1	0.0	0.0
