

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	-0.316	0.606	427.75		-28.3	14.2	0.1		33.11	-66.15		5215.2	34.8	58.0	0.0	0.0
2	0.060	0.637	424.93		-28.6	13.9	0.1		32.61	-67.41		5215.8	34.8	51.9	0.0	0.0
3	-0.159	0.480	425.21		-29.0	14.1	0.1		33.09	-68.27		5215.8	35.4	55.5	0.0	0.0
4	-0.034	0.826	426.55		-28.5	13.8	0.1		32.39	-66.94		5215.8	36.0	55.5	0.0	0.0
5	-0.034	0.543	424.01		-29.1	13.9	0.1		32.81	-68.60		5214.6	34.8	51.3	0.0	0.0
6	0.029	0.795	426.19		-28.5	14.2	0.1		33.37	-67.04		5215.8	34.8	54.9	0.0	0.0
7	0.122	0.606	424.57		-28.9	14.0	0.0		33.07	-68.15		5215.2	34.8	50.1	0.0	0.0
8	-0.567	0.669	425.35		-29.1	14.2	-0.0		33.39	-68.44		5215.8	35.4	48.8	0.0	0.0
9	0.091	0.700	425.63		-28.7	14.0	-0.0		32.96	-67.58		5214.6	34.8	51.3	0.0	0.0
10	-0.128	0.166	425.42		-29.0	14.3	0.1		33.68	-68.25		5215.8	34.8	47.0	0.0	0.0
11	-0.127	0.449	425.35		-28.8	14.1	0.1		33.20	-67.78		5214.6	34.8	56.8	0.0	0.0
12	-0.065	0.449	423.66		-29.3	14.1	0.1		33.27	-69.15		5214.6	35.4	55.5	0.0	0.0
13	-0.347	0.386	426.56		-29.4	14.0	0.0		32.82	-68.91		5212.1	35.4	50.1	0.0	0.0
14	0.154	0.449	425.28		-29.1	14.0	-0.0		32.90	-68.48		5214.6	35.4	54.9	0.0	0.0
15	-0.002	0.229	424.30		-29.4	14.3	0.1		33.61	-69.26		5214.6	35.4	49.4	0.0	0.0
16	-0.096	0.449	426.06		-29.1	14.3	0.1		33.55	-68.22		5214.6	34.8	51.3	0.0	0.0
17	-0.473	0.481	424.23		-29.4	14.2	-0.0		33.55	-69.43		5214.6	35.4	54.3	0.0	0.0
18	-0.379	0.512	426.13		-29.3	14.3	-0.1		33.49	-68.80		5215.2	34.8	53.1	0.0	0.0
19	-0.034	0.261	424.93		-29.1	14.4	0.0		33.87	-68.47		5215.2	34.8	45.8	0.0	0.0
20	-0.409	-0.054	424.93		-29.6	14.3	0.1		33.55	-69.55		5215.8	35.4	48.2	0.0	0.0
21	-0.064	0.261	424.65		-29.2	14.2	0.2		33.37	-68.89		5215.2	36.0	48.8	0.0	0.0
22	-0.284	-0.054	423.60		-29.9	14.1	0.1		33.29	-70.64		5216.4	35.4	51.9	0.0	0.0
23	-0.409	0.041	425.99		-29.2	14.3	0.0		33.44	-68.61		5215.8	34.8	51.3	0.0	0.0
24	0.249	0.041	423.10		-29.7	14.3	0.1		33.87	-70.22		5215.8	34.8	52.5	0.0	0.0
25	-0.441	-0.210	425.43		-29.8	14.5	0.0		33.95	-69.96		5215.2	35.4	53.1	0.0	0.0
26	-0.315	-0.053	423.88		-29.7	14.3	0.0		33.62	-70.04		5215.2	34.8	51.9	0.0	0.0
27	-0.316	-0.273	424.16		-30.0	14.3	-0.1		33.77	-70.71		5215.2	34.8	54.3	0.0	0.0
28	-0.472	-0.210	426.20		-29.3	14.5	0.0		33.97	-68.78		5215.8	35.4	46.4	0.0	0.0
29	-0.409	-0.587	423.46		-30.0	14.3	0.1		33.70	-70.80		5215.2	34.8	45.8	0.0	0.0
30	-0.722	-0.368	425.15		-30.0	14.4	0.1		33.72	-70.63		5215.8	34.8	56.2	0.0	0.0
31	-0.408	-0.305	424.09		-30.2	14.1	0.1		33.15	-71.22		5213.9	34.8	54.3	0.0	0.0
32	-0.785	-0.587	425.08		-30.0	14.3	-0.0		33.63	-70.58		5214.6	34.8	50.1	0.0	0.0
33	-0.063	-0.336	425.50		-29.9	14.5	0.1		34.06	-70.25		5214.6	35.4	64.7	0.0	0.0
34	-0.534	-0.650	423.74		-30.2	14.5	0.0		34.19	-71.21		5214.6	35.4	62.3	0.0	0.0
35	-1.004	-0.336	425.29		-30.0	14.6	-0.1		34.15	-70.43		5213.9	34.8	54.3	0.0	0.0
36	-0.441	-0.367	424.37		-30.2	14.4	-0.1		34.00	-71.08		5213.9	34.8	50.7	0.0	0.0
37	-0.847	-0.681	426.35		-30.1	14.6	-0.0		34.16	-70.64		5213.9	35.4	52.5	0.0	0.0
38	-0.407	-0.713	425.22		-29.9	14.5	0.1		33.99	-70.36		5215.2	34.8	44.6	0.0	0.0
39	-0.721	-0.807	423.53		-30.6	14.4	0.1		34.05	-72.10		5214.6	35.4	45.8	0.0	0.0
40	-0.752	-0.524	425.65		-30.4	14.3	0.1		33.64	-71.31		5215.2	36.0	52.5	0.0	0.0
41	-0.628	-0.744	423.95		-30.3	14.3	-0.0		33.79	-71.49		5216.4	35.4	48.8	0.0	0.0
42	-0.344	-0.807	425.65		-30.5	14.6	0.1		34.31	-71.56		5214.6	34.8	48.8	0.0	0.0
43	-0.251	-0.807	424.73		-30.4	14.6	0.0		34.31	-71.49		5215.8	34.8	50.7	0.0	0.0
44	-1.036	-1.058	424.52		-30.9	14.6	-0.1		34.41	-72.65		5214.6	34.8	49.4	0.0	0.0
45	-0.816	-0.681	425.50		-30.3	14.5	-0.1		34.11	-71.23		5215.8	34.8	51.9	0.0	0.0
46	-0.816	-0.996	424.52		-30.6	14.6	-0.0		34.37	-72.10		5215.2	35.4	53.7	0.0	0.0
47	-0.909	-1.090	426.28		-30.5	14.7	0.0		34.36	-71.39		5215.2	34.8	53.1	0.0	0.0
48	-0.627	-0.901	423.74		-30.9	14.4	0.1		33.89	-72.75		5215.2	34.8	51.3	0.0	0.0
49	-0.971	-1.184	425.59		-31.2	14.4	0.1		33.71	-73.33		5214.6	34.8	53.7	0.0	0.0
50	-0.783	-0.995	425.50		-30.3	14.4	0.0		33.83	-71.21		5215.2	34.8	56.8	0.0	0.0
51	-0.532	-1.278	424.24		-31.1	14.6	0.1		34.35	-73.23		5213.9	34.8	53.1	0.0	0.0
