

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	0.413	-2.383	391.59		-26.8	-5.6	-0.4		-14.30	-68.14		2432.4	12.2	-9.2	0.0	0.0
2	0.382	-2.226	391.80		-26.8	-5.5	-0.3		-14.13	-68.27		2865.2	12.2	-9.8	0.0	0.0
3	0.382	-2.477	391.87		-26.9	-5.5	-0.3		-13.97	-68.48		3232.0	12.8	-11.6	0.0	0.0
4	0.539	-2.446	392.51		-26.5	-5.5	-0.3		-14.03	-67.34		3538.4	12.8	-9.8	0.0	0.0
5	0.351	-2.477	391.17		-27.0	-5.6	-0.3		-14.38	-68.70		3792.3	12.2	-9.8	0.0	0.0
6	0.476	-2.540	391.45		-27.0	-5.7	-0.3		-14.49	-68.65		4010.9	12.2	-9.8	0.0	0.0
7	0.602	-2.257	391.38		-26.9	-5.6	-0.3		-14.26	-68.64		4151.3	11.6	-10.4	0.0	0.0
8	0.320	-2.257	391.24		-27.1	-5.7	-0.3		-14.54	-68.96		4635.9	12.2	-9.8	0.0	0.0
9	0.539	-2.383	392.01		-26.6	-5.8	-0.3		-14.65	-67.68		788.0	12.2	-9.8	0.0	0.0
10	0.477	-2.257	392.23		-26.7	-5.7	-0.3		-14.49	-68.00		-209.4	11.6	-10.4	0.0	0.0
11	0.696	-2.226	391.60		-27.1	-5.7	-0.3		-14.46	-69.05		344.3	11.6	-11.0	0.0	0.0
12	0.696	-2.163	392.16		-26.8	-5.7	-0.3		-14.38	-68.06		1040.7	10.4	-10.4	0.0	0.0
13	0.382	-2.194	391.73		-26.8	-5.7	-0.3		-14.42	-68.33		1717.0	11.6	-9.8	0.0	0.0
14	0.507	-2.320	392.16		-26.7	-5.7	-0.3		-14.52	-67.95		2268.2	12.2	-9.2	0.0	0.0
15	0.382	-2.006	392.16		-26.9	-5.6	-0.3		-14.28	-68.37		2728.4	11.6	-10.4	0.0	0.0
16	0.319	-2.037	391.88		-27.0	-5.6	-0.4		-14.36	-68.82		3116.6	12.2	-10.4	0.0	0.0
17	0.601	-2.037	392.65		-26.6	-5.6	-0.3		-14.15	-67.54		3441.4	12.2	-9.8	0.0	0.0
18	0.445	-1.943	392.23		-26.7	-5.5	-0.3		-14.05	-67.92		3713.0	12.2	-9.8	0.0	0.0
19	0.445	-2.069	391.80		-26.8	-5.8	-0.3		-14.76	-68.28		3943.7	12.8	-10.4	0.0	0.0
20	0.695	-2.006	392.51		-26.8	-5.7	-0.3		-14.52	-68.17		4107.3	11.6	-11.0	0.0	0.0
21	0.507	-2.037	391.38		-26.9	-5.7	-0.3		-14.64	-68.66		4481.5	12.2	-9.8	0.0	0.0
22	0.570	-1.912	391.80		-26.6	-5.9	-0.3		-15.00	-67.70		2021.6	12.8	-9.2	0.0	0.0
23	0.476	-1.786	391.45		-26.8	-5.8	-0.2		-14.67	-68.32		116.6	12.2	-10.4	0.0	0.0
24	0.507	-1.943	392.09		-26.7	-5.9	-0.3		-15.06	-68.05		50.7	12.2	-10.4	0.0	0.0
