

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	2.876	-0.556	660.64		-32.9	-20.4	-0.2		-30.76	-49.77		5217.0	35.4	52.5	0.0	0.0
2	3.252	-0.211	660.64		-32.5	-20.5	-0.2		-30.93	-49.20		5217.6	34.8	54.9	0.0	0.0
3	3.376	-0.368	661.21		-32.8	-20.5	-0.3		-30.86	-49.56		5217.0	35.4	50.1	0.0	0.0
4	3.628	-0.619	662.48		-32.2	-20.5	-0.1		-30.79	-48.63		5216.4	35.4	48.2	0.0	0.0
5	3.566	-0.619	660.79		-33.1	-20.8	-0.1		-31.28	-49.99		5215.8	34.8	52.5	0.0	0.0
6	3.848	-0.494	662.27		-32.7	-20.8	-0.0		-31.29	-49.33		5214.6	35.4	50.7	0.0	0.0
7	3.847	-0.337	661.71		-33.3	-20.9	-0.1		-31.47	-50.32		5215.2	35.4	51.3	0.0	0.0
8	3.972	-0.274	663.26		-32.6	-21.0	-0.2		-31.47	-49.15		5214.6	35.4	59.2	0.0	0.0
9	4.223	-0.368	661.71		-33.2	-20.8	-0.1		-31.23	-50.14		5215.2	36.0	59.2	0.0	0.0
10	4.160	-0.337	663.69		-32.9	-20.9	-0.1		-31.29	-49.59		5213.9	35.4	55.5	0.0	0.0
11	3.940	-0.180	662.71		-33.5	-21.0	-0.2		-31.53	-50.55		5214.6	35.4	54.3	0.0	0.0
12	4.315	-0.054	664.11		-33.0	-21.1	-0.2		-31.56	-49.63		5216.4	35.4	55.5	0.0	0.0
13	4.222	-0.463	664.05		-33.3	-21.0	-0.1		-31.48	-50.17		5215.8	34.8	54.3	0.0	0.0
14	4.441	-0.494	665.67		-33.0	-21.1	-0.1		-31.44	-49.55		5217.0	34.8	54.3	0.0	0.0
15	4.316	-0.337	663.28		-33.7	-21.3	-0.1		-31.90	-50.85		5216.4	35.4	58.0	0.0	0.0
16	4.535	-0.243	666.24		-33.5	-21.4	-0.1		-31.90	-50.28		5217.0	34.8	39.7	0.0	0.0
17	4.441	-0.463	664.97		-33.7	-21.5	-0.1		-32.11	-50.72		5217.0	35.4	42.1	0.0	0.0
18	4.911	-0.525	666.45		-33.4	-21.4	-0.1		-31.81	-50.05		5216.4	36.0	50.7	0.0	0.0
19	5.162	-0.463	664.69		-33.8	-21.3	-0.0		-31.83	-50.85		5217.6	36.0	53.1	0.0	0.0
20	4.879	-0.431	667.09		-33.5	-21.3	-0.2		-31.73	-50.27		5217.0	35.4	54.3	0.0	0.0
21	4.503	-0.306	665.47		-33.9	-21.5	-0.2		-32.06	-50.95		5216.4	34.8	56.8	0.0	0.0
22	5.097	-0.243	667.09		-33.5	-21.5	-0.2		-31.94	-50.22		5217.0	36.0	58.0	0.0	0.0
23	5.035	-0.777	666.60		-33.8	-21.4	-0.2		-31.91	-50.61		5216.4	36.0	53.7	0.0	0.0
24	5.098	-0.934	667.73		-33.8	-21.6	-0.1		-32.04	-50.57		5215.8	35.4	52.5	0.0	0.0
25	5.129	-0.746	665.90		-34.2	-21.8	-0.1		-32.42	-51.36		5216.4	36.0	55.5	0.0	0.0
26	5.349	-0.683	668.30		-34.1	-21.8	-0.1		-32.33	-50.95		5215.2	35.4	53.7	0.0	0.0
27	5.254	-0.840	666.68		-34.0	-21.8	-0.2		-32.47	-50.98		5214.6	34.2	56.2	0.0	0.0
28	5.788	-0.903	668.94		-34.0	-21.7	-0.0		-32.12	-50.81		5215.2	36.0	59.8	0.0	0.0
29	5.693	-1.123	667.32		-34.3	-21.7	-0.1		-32.29	-51.30		5215.2	35.4	51.9	0.0	0.0
30	5.347	-1.091	669.43		-34.2	-21.6	-0.2		-32.06	-51.08		5215.2	34.8	49.4	0.0	0.0
31	5.253	-0.840	668.52		-34.5	-21.8	-0.2		-32.31	-51.54		5214.6	35.4	51.3	0.0	0.0
32	5.503	-1.154	669.72		-34.3	-21.8	-0.3		-32.33	-51.23		5215.2	34.8	50.1	0.0	0.0
33	5.473	-1.594	669.93		-34.3	-21.8	-0.1		-32.23	-51.17		5215.8	35.4	56.2	0.0	0.0
34	5.473	-1.626	670.50		-34.6	-21.8	-0.1		-32.32	-51.47		5215.8	35.4	54.3	0.0	0.0
35	5.379	-1.657	669.16		-34.7	-22.1	-0.1		-32.70	-51.71		5216.4	36.0	50.1	0.0	0.0
36	5.473	-1.594	671.85		-35.0	-22.1	-0.1		-32.68	-51.98		5217.0	35.4	53.1	0.0	0.0
37	5.472	-1.688	671.00		-34.5	-22.2	-0.2		-32.75	-51.40		5216.4	34.2	50.7	0.0	0.0
38	5.912	-1.783	672.27		-34.9	-22.0	-0.0		-32.42	-51.88		5217.6	35.4	57.4	0.0	0.0
