

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	6.001	1.083	947.14		-44.6	19.0	-0.3		20.22	-47.11		5217.6	36.6	58.0	0.0	0.0
2	5.812	1.115	949.68		-44.3	19.1	-0.3		20.27	-46.70		5218.2	36.6	61.6	0.0	0.0
3	5.529	1.240	946.86		-44.7	18.7	-0.4		19.95	-47.22		5217.6	37.2	59.2	0.0	0.0
4	5.435	1.429	948.34		-44.4	18.8	-0.4		19.96	-46.84		5217.0	37.2	55.5	0.0	0.0
5	5.435	1.240	946.86		-44.2	18.7	-0.4		19.90	-46.72		5217.0	36.6	58.6	0.0	0.0
6	5.217	1.020	947.99		-44.4	18.7	-0.2		19.87	-46.83		5216.4	36.0	53.1	0.0	0.0
7	5.280	1.303	945.10		-44.5	18.4	-0.2		19.66	-47.12		5216.4	36.6	60.4	0.0	0.0
8	5.092	1.397	946.45		-44.7	18.4	-0.2		19.63	-47.24		5216.4	37.2	59.2	0.0	0.0
9	5.217	1.272	945.31		-44.2	18.3	-0.2		19.51	-46.76		5217.0	36.0	55.5	0.0	0.0
10	5.249	1.303	945.88		-44.5	18.4	-0.2		19.63	-47.10		5217.6	36.0	59.8	0.0	0.0
11	5.343	1.397	944.95		-44.1	18.4	-0.2		19.66	-46.76		5217.0	36.6	53.1	0.0	0.0
12	4.654	1.397	945.88		-44.6	18.5	-0.2		19.76	-47.23		5217.6	36.0	53.7	0.0	0.0
13	4.528	1.711	945.17		-44.1	18.3	-0.2		19.51	-46.74		5217.6	36.6	57.4	0.0	0.0
14	4.653	1.586	944.82		-44.5	18.3	-0.3		19.54	-47.10		5217.0	36.6	54.9	0.0	0.0
15	4.748	1.491	946.72		-43.8	18.5	-0.1		19.72	-46.29		5218.2	36.0	57.4	0.0	0.0
16	4.467	1.303	944.75		-44.6	18.3	-0.0		19.49	-47.20		5218.2	37.2	71.4	0.0	0.0
17	4.624	1.554	945.17		-44.1	18.2	0.0		19.41	-46.74		5218.2	36.6	65.3	0.0	0.0
18	4.498	1.491	944.47		-45.0	18.1	-0.0		19.29	-47.67		5219.4	36.6	62.9	0.0	0.0
19	4.435	1.428	946.37		-44.1	18.1	-0.0		19.31	-46.61		5218.8	37.2	59.8	0.0	0.0
20	4.750	1.208	944.19		-44.8	18.2	0.1		19.41	-47.51		5217.6	36.6	58.0	0.0	0.0
21	4.405	1.146	946.44		-44.4	18.3	0.0		19.51	-46.91		5218.8	37.2	58.6	0.0	0.0
22	3.996	0.957	944.40		-45.0	18.2	-0.0		19.36	-47.64		5217.6	37.2	57.4	0.0	0.0
23	3.997	1.303	946.52		-44.7	18.2	-0.1		19.37	-47.26		5217.6	36.6	59.2	0.0	0.0
24	4.372	0.831	945.32		-44.9	17.9	-0.1		19.08	-47.57		5218.2	37.2	52.5	0.0	0.0
25	4.186	0.391	948.50		-44.5	18.2	0.1		19.36	-46.93		5216.4	36.6	53.7	0.0	0.0
26	4.186	0.423	945.39		-45.0	17.8	0.2		19.01	-47.57		5217.0	37.2	49.4	0.0	0.0
27	4.030	0.297	947.73		-45.1	17.9	0.2		19.02	-47.60		5217.0	37.2	48.8	0.0	0.0
28	4.218	0.109	946.67		-45.0	17.6	0.2		18.78	-47.58		5217.0	36.6	55.5	0.0	0.0
29	4.155	-0.111	948.29		-45.1	17.8	0.2		18.96	-47.51		5217.6	37.2	58.0	0.0	0.0
30	4.688	-0.269	947.09		-44.8	17.8	0.3		18.99	-47.34		5217.0	37.2	56.8	0.0	0.0
31	4.124	-0.520	948.72		-45.2	17.9	0.3		19.03	-47.60		5217.6	36.6	57.4	0.0	0.0
32	4.280	-0.457	948.36		-45.0	17.7	0.2		18.77	-47.40		5217.6	36.6	56.8	0.0	0.0
33	4.280	-0.426	948.93		-45.2	17.8	0.2		18.94	-47.66		5218.2	37.2	56.8	0.0	0.0
34	4.626	-0.740	949.78		-44.7	17.7	0.4		18.78	-46.99		5218.2	36.6	57.4	0.0	0.0
35	4.439	-1.180	949.43		-45.0	17.8	0.5		18.87	-47.38		5218.2	37.2	56.2	0.0	0.0
36	4.658	-0.992	948.79		-44.9	17.5	0.5		18.62	-47.32		5218.2	37.2	57.4	0.0	0.0
37	4.595	-1.086	948.44		-45.5	17.5	0.5		18.56	-47.97		5218.8	36.6	58.6	0.0	0.0
38	4.752	-0.991	950.56		-44.9	17.3	0.5		18.31	-47.25		5218.2	37.2	56.2	0.0	0.0
39	4.815	-1.211	949.22		-45.4	17.4	0.5		18.54	-47.78		5218.2	36.6	56.2	0.0	0.0
40	5.192	-1.369	950.41		-44.9	17.6	0.7		18.67	-47.21		5218.2	36.6	56.8	0.0	0.0
41	4.784	-1.526	949.93		-45.5	17.4	0.6		18.52	-47.90		5218.2	37.2	55.5	0.0	0.0
42	4.595	-1.211	951.76		-45.2	17.5	0.5		18.56	-47.49		5217.6	36.6	55.5	0.0	0.0
43	5.065	-1.274	950.14		-45.7	17.3	0.5		18.38	-48.08		5218.2	36.0	58.0	0.0	0.0
44	5.129	-1.589	953.17		-45.2	17.5	0.7		18.52	-47.37		5217.6	36.0	59.2	0.0	0.0
45	5.129	-1.840	951.34		-45.6	17.3	0.7		18.40	-47.86		5216.4	36.6	48.8	0.0	0.0
46	5.287	-1.526	953.32		-45.7	17.3	0.8		18.34	-47.94		5217.0	37.2	53.1	0.0	0.0
47	5.537	-1.495	952.12		-46.1	17.2	0.9		18.28	-48.34		5217.0	37.2	56.2	0.0	0.0
48	5.444	-1.652	954.31		-45.7	17.2	0.9		18.20	-47.88		5216.4	36.6	58.6	0.0	0.0
49	6.165	-1.652	952.97		-45.8	17.3	0.9		18.36	-48.05		5217.0	36.0	59.8	0.0	0.0
50	6.040	-1.652	954.95		-45.9	17.5	1.0		18.55	-48.03		5217.0	37.2	69.6	0.0	0.0
51	6.040	-1.683	954.95		-46.1	17.4	1.0		18.37	-48.20		5217.6	36.6	68.4	0.0	0.0
52	5.664	-1.620	955.45		-46.4	17.4	1.0		18.41	-48.52		5218.2	36.6	61.0	0.0	0.0
53	6.478	-1.652	956.22		-46.2	17.2	0.9		18.21	-48.22		5218.2	36.6	56.8	0.0	0.0
54	6.291	-2.155	957.14		-46.4	17.6	1.1		18.56	-48.38		5218.2	36.6	59.2	0.0	0.0
55	6.543	-2.029	957.71		-46.3	17.4	1.2		18.35	-48.23		5218.8	36.0	55.5	0.0	0.0
56	6.543	-2.092	957.08		-47.0	17.3	1.2		18.32	-49.05		5217.6	35.4	56.8	0.0	0.0
57	6.668	-2.123	959.34		-46.8	17.2	1.2		18.13	-48.73		5218.8	36.6	60.4	0.0	0.0
58	6.574	-2.469	958.99		-47.1	17.3	1.2		18.27	-49.04		5218.2	36.6	51.9	0.0	0.0
59	7.297	-2.469	960.54		-46.9	17.4	1.3		18.39	-48.76		5218.2	36.6	54.9	0.0	0.0
60	7.045	-2.720	960.26		-47.4	17.6	1.3		18.52	-49.25		5218.2	36.6	56.8	0.0	0.0
61	6.950	-2.846	963.01		-47.2	17.6	1.2		18.50	-48.93		5218.2	36.6	52.5	0.0	0.0
62	6.857	-2.783	961.47		-47.7	17.5	1.2		18.42	-49.49		5218.2	37.2	57.4	0.0	0.0
63	7.295	-2.940	964.57		-47.6	17.5	1.3		18.38	-49.25		5217.0	36.6	58.0	0.0	0.0
64	7.484	-3.349	964.78		-47.6	17.6	1.4		18.52	-49.21		5217.0	37.2	58.6	0.0	0.0
65	7.328	-3.506	965.56		-47.9	17.6	1.5		18.44	-49.50		5217.0	36.6	59.2	0.0	0.0
66	7.610	-3.506	964.86		-48.1	17.5	1.5		18.41	-49.78		5217.0	36.0	54.9	0.0	0.0
67	7.611	-3.506	967.97		-48.4	17.5	1.5		18.30	-49.87		5216.4	36.0	61.6	0.0	0.0
68	7.860	-3.851	966.98		-48.2	17.5	1.4		18.35	-49.70		5216.4	37.2	61.0	0.0	0.0
69	8.395	-4.103	969.03		-48.5	17.7	1.7		18.57	-49.89		5217.0	37.2	54.9	0.0	0.0
70	8.332	-4.291	968.61		-48.3	17.7	1.6		18.55	-49.71		5218.8	37.2	59.8	0.0	0.0
71	7.986	-4.417	969.18		-48.8	17.7	1.5		18.58	-50.23		5217.6	37.2	58.6	0.0	0.0
72	8.488	-4.166	969.60		-48.5	17.7	1.5		18.51	-49.90		5217.6	36.6	54.9	0.0	0.0
73	8.488	-4.480	971.23		-48.9	17.8	1.6		18.57	-50.23		5218.2	37.2	58.6	0.0	0.0
74	8.645	-4.888	972.21		-48.3	17.8	1.7		18.60	-49.57		5218.2	36.6	54.9	0.0	0.0
75	8.521	-4.920	971.02		-49.3	17.7	1.7		18.56	-50.60		5218.8	37.8	53.1	0.0	0.0
76	8.772	-4.888	972.57		-48.8	17.6	1.8		18.44	-50.05		5218.8	37.2	54.9	0.0	0.0
77	8.584	-5.140	972.50		-49.4	17.6	1.7		18.42	-50.66		5218.8	36.6	56.8	0.0	0.0
78	8.834	-4.951	974.19		-48.9	17.8	1.7		18.60	-49.98		5218.8	37.2	61.0	0.0	0.0
