

ms	Fx [N]	Fy [N]	Fz [N]		Mx [Nm]	My [Nm]	Mz [Nm]		Cx [mm]	Cy [mm]		VS [mV]	R [mV]	B [mV]	G [mV]	W [mV]

1	1.181	0.723	525.33		3.9	5.4	-0.2		10.27	7.32		-210.0	12.8	-9.8	0.0	0.0
2	1.212	0.661	526.04		4.0	5.3	-0.2		10.12	7.53		493.2	12.2	-9.2	0.0	0.0
3	1.212	0.661	526.25		4.0	5.3	-0.2		10.14	7.64		1201.2	12.8	-9.2	0.0	0.0
4	1.087	0.880	525.97		4.0	5.3	-0.1		10.18	7.48		1837.9	12.2	-11.0	0.0	0.0
5	1.056	0.912	524.91		4.0	5.3	-0.2		10.18	7.53		2363.4	11.6	-11.0	0.0	0.0
6	1.243	0.818	525.54		4.1	5.2	-0.2		10.01	7.79		2810.2	12.8	-9.8	0.0	0.0
7	1.432	1.006	526.18		4.1	5.3	-0.2		10.08	7.80		3181.3	13.4	-9.2	0.0	0.0
8	1.463	1.006	525.05		4.0	5.4	-0.1		10.39	7.53		3490.2	13.4	-8.5	0.0	0.0
9	1.181	0.818	525.47		4.3	5.3	-0.2		10.18	8.05		3749.6	12.8	-9.2	0.0	0.0
10	1.086	0.975	526.10		4.4	5.3	-0.3		10.23	8.29		3966.3	11.6	-9.8	0.0	0.0
11	1.181	1.100	524.98		4.1	5.4	-0.2		10.35	7.78		4117.7	12.8	-9.2	0.0	0.0
12	1.087	1.038	525.12		3.9	5.5	-0.2		10.48	7.34		4602.3	13.4	-8.5	0.0	0.0
13	1.149	1.132	525.89		4.2	5.4	-0.3		10.40	7.95		781.9	12.8	-9.2	0.0	0.0
14	1.023	1.100	525.89		4.2	5.4	-0.3		10.35	7.88		-203.3	12.8	-8.5	0.0	0.0
15	0.992	1.038	525.05		4.1	5.4	-0.3		10.32	7.67		257.6	12.2	-9.2	0.0	0.0
16	1.306	1.038	525.61		4.4	5.5	-0.2		10.46	8.33		946.7	11.6	-9.2	0.0	0.0
17	1.399	1.038	525.47		4.4	5.5	-0.2		10.57	8.33		1641.9	12.8	-9.2	0.0	0.0
18	1.212	1.006	524.90		4.2	5.4	-0.2		10.38	7.97		2199.2	13.4	-9.8	0.0	0.0
19	1.118	0.880	524.62		4.0	5.3	-0.2		10.24	7.62		2669.8	13.4	-7.9	0.0	0.0
20	1.243	0.723	525.54		4.3	5.3	-0.2		10.25	8.16		3061.1	12.8	-8.5	0.0	0.0
21	1.212	0.912	525.19		4.1	5.4	-0.2		10.42	7.83		3388.9	12.2	-9.8	0.0	0.0
22	1.055	1.100	523.70		4.1	5.3	-0.2		10.23	7.80		3668.4	12.8	-8.5	0.0	0.0
23	1.180	1.006	524.90		4.3	5.3	-0.2		10.19	8.05		3902.8	13.4	-8.5	0.0	0.0
24	1.337	1.006	525.40		4.2	5.4	-0.2		10.31	8.00		4096.3	13.4	-9.2	0.0	0.0
25	1.118	0.880	524.83		4.2	5.4	-0.2		10.45	8.02		4233.0	12.8	-9.2	0.0	0.0
26	1.149	0.849	524.83		4.1	5.3	-0.2		10.26	7.80		4561.4	12.8	-10.4	0.0	0.0
27	1.557	0.880	525.39		4.5	5.4	-0.2		10.46	8.53		761.2	11.6	-10.4	0.0	0.0
28	1.431	0.849	524.62		4.4	5.5	-0.2		10.49	8.28		-157.5	12.2	-10.4	0.0	0.0
29	1.086	0.818	524.34		4.1	5.5	-0.3		10.57	7.85		733.7	12.8	-9.2	0.0	0.0
30	1.243	0.629	525.33		4.2	5.5	-0.3		10.47	7.99		1445.4	13.4	-9.8	0.0	0.0
31	1.243	0.629	525.47		4.3	5.6	-0.2		10.70	8.14		2032.6	12.8	-9.8	0.0	0.0
32	0.929	0.818	524.48		4.2	5.6	-0.3		10.75	7.92		2527.0	12.2	-11.0	0.0	0.0
33	1.054	0.786	524.19		4.3	5.5	-0.3		10.48	8.07		2945.1	12.8	-9.2	0.0	0.0
34	1.431	0.629	525.47		4.4	5.5	-0.2		10.62	8.36		3297.9	12.8	-9.2	0.0	0.0
35	1.337	0.598	526.17		4.4	5.7	-0.2		10.88	8.42		3589.7	12.2	-9.8	0.0	0.0
36	1.243	0.566	524.76		4.3	5.5	-0.2		10.57	8.08		3833.2	13.4	-9.2	0.0	0.0
37	1.243	0.441	524.97		4.4	5.4	-0.2		10.40	8.27		4037.1	12.8	-11.0	0.0	0.0
38	1.368	0.409	525.18		4.3	5.5	-0.2		10.48	8.15		4172.0	11.6	-10.4	0.0	0.0
39	1.306	0.535	524.13		4.2	5.5	-0.2		10.61	7.98		4653.0	12.8	-9.8	0.0	0.0
40	1.306	0.598	524.55		4.1	5.4	-0.2		10.37	7.82		791.7	12.8	-9.2	0.0	0.0
41	1.431	0.566	524.97		4.3	5.5	-0.2		10.51	8.18		-209.4	12.2	-9.8	0.0	0.0
42	1.369	0.441	525.33		4.3	5.5	-0.2		10.57	8.15		510.3	12.8	-9.2	0.0	0.0
43	1.118	0.503	525.04		4.1	5.4	-0.2		10.28	7.85		1217.7	12.2	-10.4	0.0	0.0
44	1.432	0.535	525.25		4.5	5.4	-0.2		10.46	8.48		1850.1	11.6	-10.4	0.0	0.0
45	1.589	0.535	525.04		4.3	5.6	-0.1		10.68	8.07		2380.5	12.2	-9.8	0.0	0.0
46	1.275	0.598	524.62		4.2	5.6	-0.2		10.77	7.93		2820.6	12.8	-9.2	0.0	0.0
47	1.149	0.472	525.32		4.4	5.4	-0.3		10.37	8.37		3188.7	13.4	-9.2	0.0	0.0
48	1.149	0.409	525.96		4.4	5.6	-0.2		10.66	8.25		3496.9	13.4	-9.8	0.0	0.0
49	1.024	0.535	525.25		4.2	5.6	-0.2		10.76	7.96		3755.1	12.2	-10.4	0.0	0.0
50	0.961	0.723	524.34		4.2	5.5	-0.2		10.56	8.00		3974.2	12.8	-9.8	0.0	0.0
51	1.242	0.755	525.18		4.4	5.6	-0.3		10.66	8.28		4123.8	13.4	-10.4	0.0	0.0
52	1.368	0.723	525.40		4.2	5.5	-0.3		10.64	8.02		4606.6	13.4	-9.2	0.0	0.0
53	1.274	0.503	525.18		4.2	5.6	-0.2		10.75	7.93		783.1	12.2	-9.2	0.0	0.0
54	1.117	0.535	526.10		4.4	5.6	-0.3		10.65	8.39		-205.1	12.2	-9.8	0.0	0.0
55	1.243	0.723	525.82		4.4	5.6	-0.3		10.81	8.38		272.2	11.0	-10.4	0.0	0.0
56	1.275	0.692	524.62		4.2	5.5	-0.2		10.62	8.00		969.3	12.2	-8.5	0.0	0.0
57	1.212	0.629	524.97		4.1	5.5	-0.2		10.64	7.81		1656.0	12.8	-7.9	0.0	0.0
58	1.337	0.786	526.03		4.4	5.5	-0.2		10.51	8.26		2210.8	13.4	-8.5	0.0	0.0
59	1.274	0.943	525.82		4.3	5.5	-0.2		10.58	8.15		2677.8	12.8	-9.2	0.0	0.0
60	1.118	0.912	525.04		4.2	5.5	-0.2		10.51	7.90		3067.2	12.2	-9.8	0.0	0.0
61	1.306	0.849	525.46		4.4	5.4	-0.2		10.42	8.34		3396.8	12.2	-9.8	0.0	0.0
62	1.431	1.006	526.17		4.4	5.4	-0.2		10.41	8.32		3677.0	12.8	-9.2	0.0	0.0
63	1.400	1.037	525.82		4.2	5.5	-0.2		10.54	7.99		3908.3	12.2	-8.5	0.0	0.0
64	1.463	0.975	525.33		4.1	5.5	-0.2		10.57	7.82		4098.8	13.4	-9.8	0.0	0.0
65	1.400	0.849	526.31		4.6	5.5	-0.2		10.60	8.62		4242.2	13.4	-10.4	0.0	0.0
66	1.243	0.943	525.96		4.3	5.5	-0.3		10.62	8.14		4490.0	12.2	-11.0	0.0	0.0
67	1.180	1.037	524.97		4.2	5.5	-0.3		10.49	8.01		742.2	12.2	-10.4	0.0	0.0
68	1.305	0.943	526.10		4.3	5.6	-0.3		10.67	8.07		-150.8	12.2	-9.2	0.0	0.0
69	1.274	1.163	526.60		4.4	5.6	-0.3		10.77	8.31		739.2	12.8	-8.5	0.0	0.0
70	1.211	1.100	525.82		4.3	5.6	-0.3		10.67	8.06		1452.1	13.4	-9.2	0.0	0.0
71	1.242	0.818	526.24		4.4	5.5	-0.3		10.52	8.22		2037.5	12.8	-8.5	0.0	0.0
72	1.399	0.880	526.81		4.6	5.6	-0.2		10.75	8.65		2531.3	12.2	-9.8	0.0	0.0
73	1.400	0.912	525.96		4.4	5.6	-0.2		10.77	8.29		2951.2	12.8	-9.2	0.0	0.0
74	1.180	0.912	524.83		4.1	5.5	-0.2		10.50	7.72		3299.2	12.8	-9.8	0.0	0.0
75	1.337	0.598	526.03		4.4	5.4	-0.2		10.36	8.42		3590.3	12.8	-9.2	0.0	0.0
76	1.368	0.503	526.24		4.3	5.5	-0.2		10.53	8.17		3833.9	13.4	-7.9	0.0	0.0
77	1.024	0.755	525.12		4.2	5.5	-0.1		10.53	7.87		4038.3	12.8	-9.8	0.0	0.0
78	1.211	0.818	525.05		4.2	5.3	-0.2		10.23	7.91		4173.8	12.8	-9.2	0.0	0.0
79	1.431	0.692	525.75		4.3	5.4	-0.2		10.38	8.13		4654.8	13.4	-9.8	0.0	0.0
80	1.243	0.598	526.03		4.4	5.5	-0.2		10.55	8.35		791.7	12.8	-10.4	0.0	0.0
81	1.212	0.629	525.54		4.2	5.4	-0.2		10.30	7.95		-209.4	12.2	-9.8	0.0	0.0
82	1.494	0.535	526.10		4.4	5.4	-0.1		10.40	8.24		519.4	12.8	-9.2	0.0	0.0
83	1.526	0.535	526.31		4.3	5.5	-0.1		10.60	8.20		1227.5	12.2	-11.0	0.0	0.0
84	1.181	0.535	524.90		4.3	5.5	-0.2		10.61	8.22		1860.5	12.2	-9.8	0.0	0.0
85	1.118	0.441	525.33		4.1	5.4	-0.2		10.36	7.85		2388.5	12.8	-9.2	0.0	0.0
86	1.274	0.409	526.03		4.2	5.5	-0.2		10.50	7.99		2826.1	13.4	-9.2	0.0	0.0
87	1.180	0.346	525.12		4.1	5.5	-0.2		10.63	7.75		3192.9	13.4	-8.5	0.0	0.0
88	0.867	0.409	525.26		4.2	5.4	-0.2		10.42	7.89		3500.0	12.8	-9.2	0.0	0.0
89	1.180	0.346	525.68		4.3	5.4	-0.2		10.39	8.19		3756.9	12.2	-9.2	0.0	0.0
90	1.369	0.346	525.47		4.4	5.6	-0.2		10.75	8.30		3979.7	12.8	-8.5	0.0	0.0
91	1.212	0.346	525.40		4.2	5.6	-0.2		10.72	8.04		4126.2	13.4	-9.2	0.0	0.0
92	1.180	0.189	525.68		4.3	5.3	-0.2		10.20	8.12		4608.4	13.4	-8.5	0.0	0.0
93	1.244	0.095	525.40		4.2	5.5	-0.1		10.49	7.98		783.1	12.8	-9.2	0.0	0.0
94	1.276	0.158	524.98		4.0	5.5	-0.1		10.55	7.62		-205.7	12.2	-10.4	0.0	0.0
95	1.275	0.221	524.62		4.1	5.4	-0.2		10.29	7.73		283.2	12.2	-9.2	0.0	0.0
96	1.338	0.315	525.47		4.2	5.4	-0.1		10.28	8.01		979.1	12.8	-9.8	0.0	0.0
97	1.307	0.346	525.26		4.1	5.4	-0.1		10.40	7.82		1663.3	12.8	-9.8	0.0	0.0
98	1.119	0.252	524.62		3.9	5.4	-0.1		10.28	7.51		2216.3	12.8	-9.2	0.0	0.0
99	1.150	0.095	525.89		4.3	5.2	-0.2		10.03	8.16		2682.7	13.4	-10.4	0.0	0.0
100	1.401	0.221	525.68		4.1	5.4	-0.1		10.40	7.82		3072.1	11.6	-10.4	0.0	0.0
101	1.402	0.315	524.13		4.0	5.5	-0.0		10.57	7.62		3402.9	12.8	-9.8	0.0	0.0
102	1.275	0.189	525.05		4.1	5.3	-0.2		10.24	7.72		3680.6	14.0	-9.2	0.0	0.0
103	1.212	0.189	526.38		4.4	5.5	-0.2		10.47	8.40		3910.2	13.4	-8.5	0.0	0.0
104	1.150	0.158	526.25		4.2	5.6	-0.1		10.65	7.89		4100.6	13.4	-8.5	0.0	0.0
105	1.025	0.158	525.82		4.0	5.5	-0.1		10.56	7.53		4252.0	12.8	-10.4	0.0	0.0
106	1.181	0.346	525.75		4.2	5.4	-0.2		10.36	7.93		4399.1	12.2	-9.8	0.0	0.0
107	1.243	0.472	525.54		4.1	5.4	-0.2		10.44	7.81		719.6	12.2	-9.2	0.0	0.0
108	1.306	0.409	525.12		4.0	5.5	-0.2		10.54	7.53		-141.6	12.8	-9.2	0.0	0.0
109	1.431	0.283	525.96		4.2	5.4	-0.2		10.44	8.04		745.9	12.2	-8.5	0.0	0.0
110	1.369	0.158	526.74		4.4	5.6	-0.2		10.63	8.29		1457.6	12.8	-9.2	0.0	0.0
111	1.212	0.252	525.40		4.1	5.5	-0.1		10.53	7.75		2041.1	12.8	-11.0	0.0	0.0
112	1.213	0.315	524.84		4.0	5.4	-0.1		10.36	7.54		2536.2	12.2	-10.4	0.0	0.0
113	1.401	0.252	525.40		4.1	5.3	-0.1		10.26	7.75		2955.5	12.8	-9.2	0.0	0.0
114	1.401	0.535	525.82		4.0	5.4	-0.1		10.39	7.58		3302.8	13.4	-8.5	0.0	0.0
115	1.307	0.566	525.19		3.8	5.4	-0.1		10.38	7.18		3594.6	13.4	-9.2	0.0	0.0
116	1.275	0.315	525.61		4.0	5.2	-0.1		10.04	7.63		3835.7	12.8	-9.2	0.0	0.0
117	1.369	0.566	526.38		4.3	5.4	-0.1		10.38	8.16		4038.9	11.6	-10.4	0.0	0.0
118	1.401	0.723	525.05		4.1	5.4	-0.1		10.29	7.77		4179.3	13.4	-8.5	0.0	0.0
119	1.527	0.629	524.70		3.8	5.3	-0.1		10.28	7.22		4657.3	13.4	-8.5	0.0	0.0
120	1.715	0.503	526.17		4.2	5.5	-0.0		10.48	7.98		791.7	12.8	-9.2	0.0	0.0
121	1.526	0.472	525.82		4.2	5.5	-0.1		10.54	7.88		-208.8	12.8	-9.2	0.0	0.0
122	1.150	0.472	525.33		3.9	5.5	-0.1		10.46	7.48		528.6	12.2	-9.2	0.0	0.0
123	1.401	0.441	525.82		4.2	5.4	-0.1		10.40	8.03		1238.5	11.0	-9.2	0.0	0.0
124	1.495	0.566	525.68		4.1	5.5	-0.1		10.59	7.73		1873.3	12.8	-9.2	0.0	0.0
125	1.150	0.661	525.05		3.8	5.5	-0.2		10.61	7.25		2395.2	13.4	-9.2	0.0	0.0
126	1.338	0.566	525.47		4.0	5.5	-0.2		10.47	7.55		2832.8	12.8	-9.2	0.0	0.0
127	1.526	0.409	526.95		4.3	5.6	-0.2		10.66	8.09		3197.8	13.4	-9.2	0.0	0.0
128	1.338	0.472	526.11		4.1	5.7	-0.1		10.85	7.73		3504.2	12.8	-9.8	0.0	0.0
